area,mean_price,compensation,type,estimation_date
NO1,4.58463634115368,3.33867270703831,mean,2022-09-25
NO2,4.66549685831919,3.41144717248727,mean,2022-09-25
NO1,4.58496323171206,3.33896690854085,median,2022-09-25
NO2,4.66475089132766,3.41077580219489,median,2022-09-25
NO1,4.34669992306221,3.12452993075599,quantile_0%,2022-09-25
NO1,4.38765749975439,3.16139174977895,quantile_0.1%,2022-09-25
NO1,4.39905695663314,3.17165126096982,quantile_0.2%,2022-09-25
NO1,4.40616635841479,3.17804972257332,quantile_0.3%,2022-09-25
NO1,4.41316879688634,3.18435191719771,quantile_0.4%,2022-09-25
NO1,4.41918660057782,3.18976794052004,quantile_0.5%,2022-09-25
NO1,4.42234170372441,3.19260753335197,quantile_0.6%,2022-09-25
NO1,4.4276670404307,3.19740033638763,quantile_0.7%,2022-09-25
NO1,4.43003872330236,3.19953485097212,quantile_0.8%,2022-09-25
NO1,4.43251337283585,3.20176203555227,quantile_0.9%,2022-09-25
NO1,4.4344449770623,3.20350047935607,quantile_1%,2022-09-25
NO1,4.43644430948489,3.20529987853641,quantile_1.1%,2022-09-25
NO1,4.43873193158712,3.20735873842841,quantile_1.2%,2022-09-25
NO1,4.44149961832111,3.209849656489,quantile_1.3%,2022-09-25
NO1,4.4430774783233,3.21126973049097,quantile_1.4%,2022-09-25
NO1,4.44449926262183,3.21254933635964,quantile_1.5%,2022-09-25
NO1,4.44576013104092,3.21368411793683,quantile_1.6%,2022-09-25
NO1,4.44844399080355,3.21609959172319,quantile_1.7%,2022-09-25
NO1,4.44989836856833,3.2174085317115,quantile_1.8%,2022-09-25
NO1,4.45113858681498,3.21852472813348,quantile_1.9%,2022-09-25
NO1,4.4530225608196,3.22022030473764,quantile_2%,2022-09-25
NO1,4.45432042281669,3.22138838053502,quantile_2.1%,2022-09-25
NO1,4.45538830332377,3.2223494729914,quantile_2.2%,2022-09-25
NO1,4.45645459930666,3.22330913937599,quantile_2.3%,2022-09-25
NO1,4.45761315745397,3.22435184170857,quantile_2.4%,2022-09-25
NO1,4.45908492001754,3.22567642801579,quantile_2.5%,2022-09-25
NO1,4.46067933500857,3.22711140150771,quantile_2.6%,2022-09-25
