prisomraade,nettselskap,konsesjonType,eierType,area_nettselskap_prisomraader,id_nettselskap_prisomraader,postnr,poststed,kommune,area_postnr_prisomraader,id_postnr_prisomraader,area_postnr_nettselskap_prisomraader,id_postnr_nettselskap_prisomraader
NO 1,NORGESNETT AS,VANLIG,EVERK,143260350.448,14,3478,NÆRSNES,3025,13380911.9360492,50,13379435.704752,222
NO 1,GLITRE ENERGI NETT AS,VANLIG,EVERK,692809115.987819,15,3647,HVITTINGFOSS,3006,22303175.0172023,10,22303173.6483474,270
NO 1,GLITRE ENERGI NETT AS,VANLIG,EVERK,692809115.987819,15,3721,SKIEN,3807,901899.202086523,32,901899.13377042,276
NO 1,GLITRE ENERGI NETT AS,VANLIG,EVERK,692809115.987819,15,3615,KONGSBERG,3006,3759282.35305047,44,3539697.36169796,282
NO 1,NORGESNETT AS,VANLIG,EVERK,398704788.962132,17,1295,OSLO,0301,1200410.9461999,91,7572.76461728188,395
NO 1,NORGESNETT AS,VANLIG,EVERK,116634039.110638,19,3478,NÆRSNES,3025,13380911.9360492,50,293.932067546804,486
NO 1,GLITRE ENERGI NETT AS,VANLIG,EVERK,575812109.262451,23,3024,DRAMMEN,3005,846822.078499941,43,846822.078499941,677
NO 1,GLITRE ENERGI NETT AS,VANLIG,EVERK,575812109.262451,23,3058,SOLBERGMOEN,3005,1169905.65460011,45,1169905.65460011,679
NO 1,ROLLAG ELEKTRISITETSVERK AS,VANLIG,EVERK,447779323.539661,27,3358,NEDRE EGGEDAL,3045,162198064.874051,49,14556.0122667745,749
NO 1,NOREFJELL NETT AS,VANLIG,EVERK,374984920.420946,31,3536,NORESUND,3046,213853929.63044,3,213679507.373087,795
NO 1,MIDTNETT AS,VANLIG,EVERK,1926436283.01953,32,3536,NORESUND,3046,213853929.63044,3,138822.020298833,861
NO 1,MIDTNETT AS,VANLIG,EVERK,1926436283.01953,32,3533,TYRISTRAND,3007,111921379.433655,47,40576.0999505522,879
NO 1,MIDTNETT AS,VANLIG,EVERK,1926436283.01953,32,3530,RØYSE,3038,65541117.7334006,48,1804381.36146183,880
NO 1,MIDTNETT AS,VANLIG,EVERK,1926436283.01953,32,3358,NEDRE EGGEDAL,3045,162198064.874051,49,162183430.908101,881
NO 1,GLITRE ENERGI NETT AS,VANLIG,EVERK,1275093837.73737,36,3525,HALLINGBY,3007,152955978.518098,30,150491.069997387,935
NO 1,GLITRE ENERGI NETT AS,VANLIG,EVERK,1275093837.73737,36,2720,GRINDVOLL,3054,10450292.3353504,33,10450292.3353504,937
NO 1,FØIE AS,VANLIG,EVERK,1749143398.89818,39,3536,NORESUND,3046,213853929.63044,3,35600.2370580831,993
