area,mean_price,compensation,type,estimation_date,computation_year,computation_month
NO1,1,0.9061,pos_comp,2023-05-06,2023,5
NO1,1.56266505505561,0.63417537290638,mean,2023-05-06,2023,5
NO1,1.55874271175744,0.615368440581694,median,2023-05-06,2023,5
NO1,0.461892468872587,0,quantile_0.005,2023-05-06,2023,5
NO1,0.610721768188054,0,quantile_0.025,2023-05-06,2023,5
NO1,0.726521900324113,0,quantile_0.05,2023-05-06,2023,5
NO1,0.894588570430575,0.0176297133875177,quantile_0.1,2023-05-06,2023,5
NO1,1.20417829722293,0.296260467500637,quantile_0.25,2023-05-06,2023,5
NO1,1.90773262291484,0.929459360623359,quantile_0.75,2023-05-06,2023,5
NO1,2.22120595512658,1.21158535961392,quantile_0.9,2023-05-06,2023,5
NO1,2.40749304693096,1.37924374223786,quantile_0.95,2023-05-06,2023,5
NO1,2.58490948469418,1.53891853622476,quantile_0.975,2023-05-06,2023,5
NO1,2.92398628295104,1.84408765465594,quantile_0.995,2023-05-06,2023,5
NO1,0.298176663306452,0,lower_bound,2023-05-06,2023,5
NO1,1.32049665178572,0.400946986607144,current_mean,2023-05-06,2023,5
NO2,1,0.939,pos_comp,2023-05-06,2023,5
NO2,1.61002206564683,0.670425021263512,mean,2023-05-06,2023,5
NO2,1.60272192612952,0.654949733516568,median,2023-05-06,2023,5
NO2,0.513137118035298,0,quantile_0.005,2023-05-06,2023,5
NO2,0.70985229913552,0,quantile_0.025,2023-05-06,2023,5
NO2,0.833093336483907,0,quantile_0.05,2023-05-06,2023,5
NO2,0.988582760901386,0.102224484811248,quantile_0.1,2023-05-06,2023,5
NO2,1.27709462707387,0.361885164366482,quantile_0.25,2023-05-06,2023,5
NO2,1.93377778073911,0.952900002665202,quantile_0.75,2023-05-06,2023,5
NO2,2.22665244882186,1.21648720393967,quantile_0.9,2023-05-06,2023,5
NO2,2.41298657374297,1.38418791636868,quantile_0.95,2023-05-06,2023,5
NO2,2.56222847766142,1.51850562989527,quantile_0.975,2023-05-06,2023,5
NO2,2.83687544061812,1.76568789655631,quantile_0.995,2023-05-06,2023,5
NO2,0.298176663306452,0,lower_bound,2023-05-06,2023,5
NO2,1.32049665178572,0.400946986607144,current_mean,2023-05-06,2023,5
NO3,1,0.6231,pos_comp,2023-05-06,2023,5
NO3,1.03286085854469,0.227521107784267,mean,2023-05-06,2023,5
NO3,1.00752763762633,0.119274873863695,median,2023-05-06,2023,5
NO3,0.314825462675386,0,quantile_0.005,2023-05-06,2023,5
NO3,0.364789802011322,0,quantile_0.025,2023-05-06,2023,5
NO3,0.420005559664091,0,quantile_0.05,2023-05-06,2023,5
NO3,0.504842701444219,0,quantile_0.1,2023-05-06,2023,5
NO3,0.716812382992604,0,quantile_0.25,2023-05-06,2023,5
NO3,1.31243622808907,0.393692605280163,quantile_0.75,2023-05-06,2023,5
NO3,1.57443334097605,0.629490006878446,quantile_0.9,2023-05-06,2023,5
NO3,1.73718520360576,0.775966683245183,quantile_0.95,2023-05-06,2023,5
NO3,1.86431885148819,0.890386966339375,quantile_0.975,2023-05-06,2023,5
NO3,2.15348388597213,1.15063549737491,quantile_0.995,2023-05-06,2023,5
NO3,0.253764079301075,0,lower_bound,2023-05-06,2023,5
NO3,1.12381235119048,0.223931116071428,current_mean,2023-05-06,2023,5
NO4,1,0.0949,pos_comp,2023-05-06,2023,5
NO4,0.500225132815349,0.0120763819778561,mean,2023-05-06,2023,5
NO4,0.466909915223301,0,median,2023-05-06,2023,5
NO4,0.12738065576634,0,quantile_0.005,2023-05-06,2023,5
NO4,0.142185157181673,0,quantile_0.025,2023-05-06,2023,5
NO4,0.157764651270395,0,quantile_0.05,2023-05-06,2023,5
NO4,0.18685340867519,0,quantile_0.1,2023-05-06,2023,5
NO4,0.282215359941296,0,quantile_0.25,2023-05-06,2023,5
NO4,0.673398525307202,0,quantile_0.75,2023-05-06,2023,5
NO4,0.863990154679318,0,quantile_0.9,2023-05-06,2023,5
NO4,0.973382224285839,0.0885440018572547,quantile_0.95,2023-05-06,2023,5
NO4,1.06736547165377,0.17312892448839,quantile_0.975,2023-05-06,2023,5
NO4,1.27367192420026,0.358804731780233,quantile_0.995,2023-05-06,2023,5
NO4,0.114839569892473,0,lower_bound,2023-05-06,2023,5
NO4,0.508575238095238,0,current_mean,2023-05-06,2023,5
NO5,1,0.9317,pos_comp,2023-05-06,2023,5
NO5,1.50489699513232,0.576424952753017,mean,2023-05-06,2023,5
NO5,1.50529588181652,0.567266293634864,median,2023-05-06,2023,5
NO5,0.529446338743557,0,quantile_0.005,2023-05-06,2023,5
NO5,0.692758357730006,0,quantile_0.025,2023-05-06,2023,5
NO5,0.807730218378824,0,quantile_0.05,2023-05-06,2023,5
NO5,0.958159229972032,0.0748433069748288,quantile_0.1,2023-05-06,2023,5
NO5,1.22034491813382,0.310810426320441,quantile_0.25,2023-05-06,2023,5
NO5,1.78933237745089,0.822899139705797,quantile_0.75,2023-05-06,2023,5
NO5,2.04339486975586,1.05155538278028,quantile_0.9,2023-05-06,2023,5
NO5,2.20241498832649,1.19467348949384,quantile_0.95,2023-05-06,2023,5
NO5,2.33177709124036,1.31109938211632,quantile_0.975,2023-05-06,2023,5
NO5,2.58511479083802,1.53910331175422,quantile_0.995,2023-05-06,2023,5
NO5,0.30239254032258,0,lower_bound,2023-05-06,2023,5
NO5,1.33916696428571,0.417750267857142,current_mean,2023-05-06,2023,5
