area,date,price
NO2,2021-11-01,0.851175
NO2,2021-11-02,1.095625
NO2,2021-11-03,1.1905875
NO2,2021-11-04,1.3064
NO2,2021-11-05,1.0976625
NO2,2021-11-06,0.969975
NO2,2021-11-07,0.8611875
NO2,2021-11-08,1.5224125
NO2,2021-11-09,1.0360125
NO2,2021-11-10,1.0944875
NO2,2021-11-11,1.1124375
NO2,2021-11-12,1.1508125
NO2,2021-11-13,1.1406125
NO2,2021-11-14,1.2121875
NO2,2021-11-15,1.2096875
NO2,2021-11-16,1.197825
NO2,2021-11-17,1.116425
NO2,2021-11-18,1.1136625
NO2,2021-11-19,1.038675
NO2,2021-11-20,1.1173625
NO2,2021-11-21,1.16555
NO2,2021-11-22,1.5464625
NO2,2021-11-23,1.3822
NO2,2021-11-24,1.367275
NO2,2021-11-25,1.4027
NO2,2021-11-26,1.4630375
NO2,2021-11-27,1.849125
NO2,2021-11-28,2.346975
NO2,2021-11-29,3.198325
NO2,2021-11-30,1.7178625
NO2,2021-12-01,1.49815
NO2,2021-12-02,2.3625125
NO2,2021-12-03,1.89255
NO2,2021-12-04,1.7100875
NO2,2021-12-05,1.6511125
NO2,2021-12-06,2.14585
NO2,2021-12-07,2.202675
NO2,2021-12-08,1.66215
NO2,2021-12-09,1.659375
NO2,2021-12-10,1.8895
NO2,2021-12-11,2.02825
NO2,2021-12-12,1.6805125
NO2,2021-12-13,1.7156375
NO2,2021-12-14,2.6021875
NO2,2021-12-15,1.63585
NO2,2021-12-16,1.951825
NO2,2021-12-17,2.2740875
NO2,2021-12-18,1.987575
NO2,2021-12-19,1.877425
NO2,2021-12-20,3.906775
NO2,2021-12-21,4.94265
NO2,2021-12-22,3.2717375
NO2,2021-12-23,3.0757625
NO2,2021-12-24,2.5048625
NO2,2021-12-25,2.519775
NO2,2021-12-26,2.3485125
NO2,2021-12-27,2.2561875
NO2,2021-12-28,1.8432375
NO2,2021-12-29,2.0873125
NO2,2021-12-30,1.7391125
NO2,2021-12-31,1.69475
NO2,2022-01-01,1.5879125
NO2,2022-01-02,1.429275
NO2,2022-01-03,1.61545
NO2,2022-01-04,1.8427625
NO2,2022-01-05,1.669525
NO2,2022-01-06,2.3233375
NO2,2022-01-07,1.99215
NO2,2022-01-08,1.8222
NO2,2022-01-09,1.784175
NO2,2022-01-10,2.4246125
NO2,2022-01-11,1.8942
NO2,2022-01-12,1.732
NO2,2022-01-13,1.58005
NO2,2022-01-14,1.6114875
NO2,2022-01-15,1.9392625
NO2,2022-01-16,1.5965
NO2,2022-01-17,1.65405
NO2,2022-01-18,2.0118375
NO2,2022-01-19,1.6918125
NO2,2022-01-20,1.6199375
NO2,2022-01-21,1.71635
NO2,2022-01-22,1.7405125
NO2,2022-01-23,1.7179875
NO2,2022-01-24,1.6934625
NO2,2022-01-25,1.9624875
NO2,2022-01-26,1.6577375
NO2,2022-01-27,1.58535
NO2,2022-01-28,1.7005375
NO2,2022-01-29,1.350075
NO2,2022-01-30,1.509125
NO2,2022-01-31,2.0372125
NO2,2022-02-01,1.8012875
NO2,2022-02-02,1.684525
NO2,2022-02-03,1.83285
NO2,2022-02-04,1.5378625
NO2,2022-02-05,1.4518375
NO2,2022-02-06,1.4020625
NO2,2022-02-07,1.5311625
NO2,2022-02-08,1.548975
NO2,2022-02-09,1.51955
NO2,2022-02-10,1.5610375
NO2,2022-02-11,1.6126125
NO2,2022-02-12,1.4107125
NO2,2022-02-13,1.2933375
NO2,2022-02-14,1.3666875
NO2,2022-02-15,1.4239
NO2,2022-02-16,1.3866875
NO2,2022-02-17,1.288375
NO2,2022-02-18,1.3901875
NO2,2022-02-19,1.2896125
NO2,2022-02-20,1.2698
NO2,2022-02-21,1.350425
NO2,2022-02-22,1.543625
NO2,2022-02-23,1.385875
NO2,2022-02-24,1.4568
NO2,2022-02-25,1.5778
NO2,2022-02-26,1.7598625
NO2,2022-02-27,1.724575
NO2,2022-02-28,1.786325
NO2,2022-03-01,1.84165
NO2,2022-03-02,1.863925
NO2,2022-03-03,1.985675
NO2,2022-03-04,2.5019625
NO2,2022-03-05,2.28405
NO2,2022-03-06,2.3389875
NO2,2022-03-07,2.9187375
NO2,2022-03-08,3.222475
NO2,2022-03-09,2.7651625
NO2,2022-03-10,2.6113625
NO2,2022-03-11,2.3736125
NO2,2022-03-12,2.2141875
NO2,2022-03-13,2.0326
NO2,2022-03-14,2.460075
NO2,2022-03-15,2.6558125
NO2,2022-03-16,2.4016625
NO2,2022-03-17,2.15085
NO2,2022-03-18,2.246625
NO2,2022-03-19,2.0442625
NO2,2022-03-20,1.9824375
NO2,2022-03-21,2.14075
NO2,2022-03-22,2.36575
NO2,2022-03-23,2.4458
NO2,2022-03-24,2.30475
NO2,2022-03-25,2.2234125
