area,start_hour,date,price
NO1,0,2022-10-01,0.8268
NO1,1,2022-10-01,0.6858
NO1,2,2022-10-01,0.5393
NO1,3,2022-10-01,0.2317
NO1,4,2022-10-01,0.1824
NO1,5,2022-10-01,0.1727
NO1,6,2022-10-01,0.1688
NO1,7,2022-10-01,0.2572
NO1,8,2022-10-01,0.4846
NO1,9,2022-10-01,0.7889
NO1,10,2022-10-01,1.1848
NO1,11,2022-10-01,1.1517
NO1,12,2022-10-01,0.9708
NO1,13,2022-10-01,0.7986
NO1,14,2022-10-01,0.7136
NO1,15,2022-10-01,0.7216
NO1,16,2022-10-01,0.7532
NO1,17,2022-10-01,1.4864
NO1,18,2022-10-01,1.8262
NO1,19,2022-10-01,2.1116
NO1,20,2022-10-01,1.9445
NO1,21,2022-10-01,1.5629
NO1,22,2022-10-01,1.1895
NO1,23,2022-10-01,0.8354
NO2,0,2022-10-01,0.8268
NO2,1,2022-10-01,0.6858
NO2,2,2022-10-01,0.5393
NO2,3,2022-10-01,0.2317
NO2,4,2022-10-01,0.1824
NO2,5,2022-10-01,0.1727
NO2,6,2022-10-01,0.1688
NO2,7,2022-10-01,0.2572
NO2,8,2022-10-01,0.4846
NO2,9,2022-10-01,0.7889
NO2,10,2022-10-01,1.1848
NO2,11,2022-10-01,1.1517
NO2,12,2022-10-01,0.9708
NO2,13,2022-10-01,0.7986
NO2,14,2022-10-01,0.7136
NO2,15,2022-10-01,0.7216
NO2,16,2022-10-01,0.7532
NO2,17,2022-10-01,1.4864
NO2,18,2022-10-01,1.8262
NO2,19,2022-10-01,2.1116
NO2,20,2022-10-01,1.9445
NO2,21,2022-10-01,1.5629
NO2,22,2022-10-01,1.1895
NO2,23,2022-10-01,0.8354
