Nettselskap,Kapasitetsledd,Kapasitetsledd fra kW,Kapasitetsledd til kW,Grunnlag effektrinn
AGDER ENERGI NETT AS,245,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,315,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,440,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,815,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,1500,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,2187.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,3000,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,4000,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,5500,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
AGDER ENERGI NETT AS,7500,100,10000,Topp 3 forbrukstopper innenfor 1 siste måneder
ENIDA AS,276.04,0,40,Sikringsstørrelse
ENIDA AS,833.33,40,999,Sikringsstørrelse
TINFOS AS,262.5,0,5,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,412.5,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,562.5,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,712.5,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,862.5,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,1312.5,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
TINFOS AS,3750,50,500,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,125,0,2,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,200,2,5,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,325,5,10,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,450,10,15,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,575,15,20,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,700,20,25,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,1325,25,50,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,1950,50,75,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,2575,75,100,Topp 3 forbrukstopper innenfor 1 siste måneder
ELVIA AS,5150,100,1000,Topp 3 forbrukstopper innenfor 1 siste måneder
ETNA NETT AS,534.37,0,25,Sikringsstørrelse
FJELLNETT AS,207,0,1,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,236.91,1,2,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,266.83,2,3,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,296.75,3,4,Topp 5 forbrukstopper innenfor 12 siste måneder
FJELLNETT AS,326.66,4,5,Topp 5 forbrukstopper innenfor 12 siste måneder
