Fylke,Nettselskap,Energiledd,pristype
Agder,AGDER ENERGI NETT AS,52.51,Dag
Agder,AGDER ENERGI NETT AS,42.51,Natt
Agder,ENIDA AS,38.01,Dag
Agder,ENIDA AS,38.01,Natt
Agder,TINFOS AS,38.01,Dag
Agder,TINFOS AS,38.01,Natt
Innlandet,ELVIA AS,43.1,Dag
Innlandet,ELVIA AS,36.85,Natt
Innlandet,ETNA NETT AS,34.08,Dag
Innlandet,ETNA NETT AS,34.08,Natt
Innlandet,FJELLNETT AS,28.75,Dag
Innlandet,FJELLNETT AS,28.75,Natt
Innlandet,GLITRE ENERGI NETT AS,47.25,Dag
Innlandet,GLITRE ENERGI NETT AS,35.25,Natt
Innlandet,GRIUG AS,33.51,Dag
Innlandet,GRIUG AS,33.51,Natt
Innlandet,KLIVE AS,37.9,Dag
Innlandet,KLIVE AS,37.9,Natt
Innlandet,RØROS E-VERK NETT AS,50.26,Dag
Innlandet,RØROS E-VERK NETT AS,42.26,Natt
Innlandet,SKIAKERNETT AS,38.01,Dag
Innlandet,SKIAKERNETT AS,38.01,Natt
Innlandet,STANGE ENERGI NETT AS,43.1,Dag
Innlandet,STANGE ENERGI NETT AS,36.85,Natt
Innlandet,SYGNIR AS,65.76,Dag
Innlandet,SYGNIR AS,65.76,Natt
Innlandet,SØR AURDAL ENERGI AS,52.41,Dag
Innlandet,SØR AURDAL ENERGI AS,52.41,Natt
Innlandet,TENSIO TS AS,36.26,Dag
Innlandet,TENSIO TS AS,28.38,Natt
Innlandet,VANG ENERGIVERK AS,37.26,Dag
Innlandet,VANG ENERGIVERK AS,37.26,Natt
Innlandet,VEVIG AS,39.26,Dag
Innlandet,VEVIG AS,50.51,Natt
Møre og Romsdal,ELINETT AS,43.57,Dag
Møre og Romsdal,ELINETT AS,33.57,Natt
Møre og Romsdal,LINJA AS,44.26,Dag
Møre og Romsdal,LINJA AS,40.51,Natt
Møre og Romsdal,MELLOM AS,43.4,Dag
Møre og Romsdal,MELLOM AS,43.4,Natt
Møre og Romsdal,MØRENETT AS,40.51,Dag
Møre og Romsdal,MØRENETT AS,33.01,Natt
Møre og Romsdal,NORDVEST NETT AS,46.23,Dag
Møre og Romsdal,NORDVEST NETT AS,38.73,Natt
Møre og Romsdal,ROMSDALSNETT AS,43.11,Dag
Møre og Romsdal,ROMSDALSNETT AS,30.61,Natt
Møre og Romsdal,S-NETT AS,49.46,Dag
Møre og Romsdal,S-NETT AS,34.98,Natt
Møre og Romsdal,SANDØY NETT AS,51.42,Dag
Møre og Romsdal,SANDØY NETT AS,43.92,Natt
Møre og Romsdal,STRAUMEN NETT AS,33.01,Dag
Møre og Romsdal,STRAUMEN NETT AS,33.01,Natt
Møre og Romsdal,SUNETT AS,39.76,Dag
Møre og Romsdal,SUNETT AS,39.76,Natt
Møre og Romsdal,TINDRA NETT AS,44.26,Dag
Møre og Romsdal,TINDRA NETT AS,36.76,Natt
Nordland,ANDØY ENERGI NETT AS,34.01,Dag
Nordland,ANDØY ENERGI NETT AS,34.01,Natt
Nordland,ARVA AS,33.11,Dag
Nordland,ARVA AS,24.21,Natt
Nordland,BINDAL KRAFTLAG SA,39.81,Dag
Nordland,BINDAL KRAFTLAG SA,39.81,Natt
Nordland,ELMEA AS,46.21,Dag
Nordland,ELMEA AS,36.21,Natt
Nordland,HÅLOGALAND KRAFT NETT AS,17.21,Dag
Nordland,HÅLOGALAND KRAFT NETT AS,17.21,Natt
Nordland,ISALTEN NETT AS,31.24,Dag
Nordland,ISALTEN NETT AS,21.24,Natt
Nordland,KYSTNETT AS,30.01,Dag
Nordland,KYSTNETT AS,30.01,Natt
Nordland,LINEA AS,35.41,Dag
Nordland,LINEA AS,26.61,Natt
Nordland,MELØY NETT AS,38.26,Dag
Nordland,MELØY NETT AS,33.26,Natt
Nordland,TENSIO TN AS,25.11,Dag
Nordland,TENSIO TN AS,25.11,Natt
Nordland,TROLLFJORD NETT AS,37.91,Dag
Nordland,TROLLFJORD NETT AS,32.91,Natt
Nordland,VESTALL AS,27.31,Dag
Nordland,VESTALL AS,27.31,Natt
Oslo,ELVIA AS,43.1,Dag
Oslo,ELVIA AS,36.85,Natt
Oslo,GLITRE ENERGI NETT AS,47.25,Dag
Oslo,GLITRE ENERGI NETT AS,35.25,Natt
Rogaland,AGDER ENERGI NETT AS,52.51,Dag
Rogaland,AGDER ENERGI NETT AS,42.51,Natt
Rogaland,ENIDA AS,38.01,Dag
Rogaland,ENIDA AS,38.01,Natt
Rogaland,FAGNE AS,51.51,Dag
Rogaland,FAGNE AS,41.51,Natt
Rogaland,JÆREN EVERK AS,66.76,Dag
Rogaland,JÆREN EVERK AS,59.26,Natt
Rogaland,KE NETT AS,46.76,Dag
Rogaland,KE NETT AS,34.26,Natt
Rogaland,LNETT AS,48.6,Dag
Rogaland,LNETT AS,40.6,Natt
Troms og Finnmark,ALUT AS,13.1,Dag
Troms og Finnmark,ALUT AS,13.1,Natt
Troms og Finnmark,ANDØY ENERGI NETT AS,34.01,Dag
Troms og Finnmark,ANDØY ENERGI NETT AS,34.01,Natt
Troms og Finnmark,ARVA AS,33.11,Dag
Troms og Finnmark,ARVA AS,24.21,Natt
Troms og Finnmark,ARVA AS*,17.7,Dag
Troms og Finnmark,ARVA AS*,8.8,Natt
Troms og Finnmark,BARENTS NETT AS,23,Dag
Troms og Finnmark,BARENTS NETT AS,23,Natt
Troms og Finnmark,HÅLOGALAND KRAFT NETT AS,17.21,Dag
Troms og Finnmark,HÅLOGALAND KRAFT NETT AS,17.21,Natt
