Nettselskap,Energiledd,Time,pristype,helgepris
AGDER ENERGI NETT AS,52.51,6,Dag,FALSE
ENIDA AS,38.01,6,Dag,FALSE
TINFOS AS,38.01,6,Dag,FALSE
ELVIA AS,43.1,6,Dag,FALSE
ETNA NETT AS,34.08,6,Dag,FALSE
FJELLNETT AS,28.75,6,Dag,FALSE
GLITRE ENERGI NETT AS,47.25,6,Dag,FALSE
GRIUG AS,33.51,6,Dag,FALSE
KLIVE AS,37.9,6,Dag,FALSE
RØROS E-VERK NETT AS,50.26,6,Dag,FALSE
SKIAKERNETT AS,38.01,6,Dag,FALSE
STANGE ENERGI NETT AS,43.1,6,Dag,FALSE
SYGNIR AS,65.76,6,Dag,FALSE
SØR AURDAL ENERGI AS,52.41,6,Dag,FALSE
TENSIO TS AS,36.26,6,Dag,FALSE
VANG ENERGIVERK AS,37.26,6,Dag,FALSE
VEVIG AS,39.26,6,Dag,FALSE
ELINETT AS,43.57,6,Dag,FALSE
LINJA AS,44.26,6,Dag,FALSE
MELLOM AS,43.4,6,Dag,FALSE
MØRENETT AS,40.51,6,Dag,FALSE
NORDVEST NETT AS,46.23,6,Dag,FALSE
ROMSDALSNETT AS,43.11,6,Dag,FALSE
S-NETT AS,49.46,6,Dag,FALSE
SANDØY NETT AS,51.42,6,Dag,FALSE
STRAUMEN NETT AS,33.01,6,Dag,FALSE
SUNETT AS,39.76,6,Dag,FALSE
TINDRA NETT AS,44.26,6,Dag,FALSE
ANDØY ENERGI NETT AS,34.01,6,Dag,FALSE
ARVA AS,33.11,6,Dag,FALSE
BINDAL KRAFTLAG SA,39.81,6,Dag,FALSE
ELMEA AS,46.21,6,Dag,FALSE
HÅLOGALAND KRAFT NETT AS,17.21,6,Dag,FALSE
ISALTEN NETT AS,31.24,6,Dag,FALSE
KYSTNETT AS,30.01,6,Dag,FALSE
LINEA AS,35.41,6,Dag,FALSE
MELØY NETT AS,38.26,6,Dag,FALSE
TROLLFJORD NETT AS,37.91,6,Dag,FALSE
VESTALL AS,27.31,6,Dag,FALSE
FAGNE AS,51.51,6,Dag,FALSE
JÆREN EVERK AS,66.76,6,Dag,FALSE
KE NETT AS,46.76,6,Dag,FALSE
LNETT AS,48.6,6,Dag,FALSE
ALUT AS,13.1,6,Dag,FALSE
ARVA AS*,17.7,6,Dag,FALSE
BARENTS NETT AS,23,6,Dag,FALSE
LEGA NETT AS,15.5,6,Dag,FALSE
LUCERNA AS,18.54,6,Dag,FALSE
LUOSTEJOK NETT AS,7.5,6,Dag,FALSE
NETTINORD AS,16.4,6,Dag,FALSE
VISSI AS,22,6,Dag,FALSE
NETTSELSKAPET AS,40.63,6,Dag,FALSE
TENSIO TN AS,31.38,6,Dag,FALSE
DE NETT AS,59.26,6,Dag,FALSE
EVERKET AS,34.26,6,Dag,FALSE
FØRE AS,46.76,6,Dag,FALSE
LEDE AS,40.51,6,Dag,FALSE
RK NETT AS,56.76,6,Dag,FALSE
STANNUM AS,45.36,6,Dag,FALSE
VEST-TELEMARK KRAFTLAG NETT AS,51.76,6,Dag,FALSE
VESTMAR NETT AS,38.81,6,Dag,FALSE
BKK NETT AS,49.9,6,Dag,FALSE
BREHEIM NETT AS,38.63,6,Dag,FALSE
BØMLO KRAFTNETT AS,50.58,6,Dag,FALSE
HAVNETT AS,57.67,6,Dag,FALSE
INDRE HORDALAND KRAFTNETT AS,54.76,6,Dag,FALSE
KVAM ENERGI NETT AS,51.22,6,Dag,FALSE
LYSNA AS,58.01,6,Dag,FALSE
MODALEN KRAFTLAG SA,40.51,6,Dag,FALSE
NORGESNETT AS,56.76,6,Dag,FALSE
ODDA ENERGI NETT AS,51.51,6,Dag,FALSE
STRAUMNETT AS,69.9,6,Dag,FALSE
VONETT AS,69.13,6,Dag,FALSE
ASKER NETT AS,50.46,6,Dag,FALSE
EL-VERKET HØLAND AS,54.26,6,Dag,FALSE
ELVENETT AS,51.13,6,Dag,FALSE
FØIE AS,40.38,6,Dag,FALSE
HALLINGDAL KRAFTNETT AS,46.47,6,Dag,FALSE
HEMSIL NETT AS,46.76,6,Dag,FALSE
MIDTNETT AS,45.51,6,Dag,FALSE
NOREFJELL NETT AS,45.72,6,Dag,FALSE
RAKKESTAD ENERGI AS,54.76,6,Dag,FALSE
ROLLAG ELEKTRISITETSVERK AS,48.3,6,Dag,FALSE
UVDAL KRAFTFORSYNING SA,34.51,6,Dag,FALSE
