area,date,start_hour,price
NO1,2022-01-01,0,1.32764
NO1,2022-01-01,1,1.29177
NO1,2022-01-01,2,1.31955
NO1,2022-01-01,3,1.11334
NO1,2022-01-01,4,1.12243
NO1,2022-01-01,5,1.13792
NO1,2022-01-01,6,1.22134
NO1,2022-01-01,7,1.18467
NO1,2022-01-01,8,1.18357
NO1,2022-01-01,9,1.17748
NO1,2022-01-01,10,1.19916
NO1,2022-01-01,11,1.16959
NO1,2022-01-01,12,1.17059
NO1,2022-01-01,13,1.19966
NO1,2022-01-01,14,1.24422
NO1,2022-01-01,15,1.24771
NO1,2022-01-01,16,1.35461
NO1,2022-01-01,17,1.49828
NO1,2022-01-01,18,1.50567
NO1,2022-01-01,19,1.43673
NO1,2022-01-01,20,1.40227
NO1,2022-01-01,21,1.39717
NO1,2022-01-01,22,1.34952
NO1,2022-01-01,23,1.23303
NO2,2022-01-01,0,1.32764
NO2,2022-01-01,1,1.29177
NO2,2022-01-01,2,1.31955
NO2,2022-01-01,3,1.11334
NO2,2022-01-01,4,1.12243
NO2,2022-01-01,5,1.13792
NO2,2022-01-01,6,1.22134
NO2,2022-01-01,7,1.18467
NO2,2022-01-01,8,1.18357
NO2,2022-01-01,9,1.17748
NO2,2022-01-01,10,1.19916
NO2,2022-01-01,11,1.16959
NO2,2022-01-01,12,1.17059
NO2,2022-01-01,13,1.19966
NO2,2022-01-01,14,1.24422
NO2,2022-01-01,15,1.24771
NO2,2022-01-01,16,1.35461
NO2,2022-01-01,17,1.49828
NO2,2022-01-01,18,1.50567
NO2,2022-01-01,19,1.43673
NO2,2022-01-01,20,1.40227
NO2,2022-01-01,21,1.39717
NO2,2022-01-01,22,1.34952
NO2,2022-01-01,23,1.23303
NO3,2022-01-01,0,0.46556
NO3,2022-01-01,1,0.41291
NO3,2022-01-01,2,0.4214
NO3,2022-01-01,3,0.44328
NO3,2022-01-01,4,0.37634
NO3,2022-01-01,5,0.39662
NO3,2022-01-01,6,0.40551
NO3,2022-01-01,7,0.43219
NO3,2022-01-01,8,0.49393
NO3,2022-01-01,9,0.49413
NO3,2022-01-01,10,0.49223
NO3,2022-01-01,11,0.48844
NO3,2022-01-01,12,0.48404
NO3,2022-01-01,13,0.44168
NO3,2022-01-01,14,0.4234
NO3,2022-01-01,15,0.4205
NO3,2022-01-01,16,0.4226
NO3,2022-01-01,17,0.40551
NO3,2022-01-01,18,0.40072
NO3,2022-01-01,19,0.38483
NO3,2022-01-01,20,0.34677
NO3,2022-01-01,21,0.32449
NO3,2022-01-01,22,0.32849
NO3,2022-01-01,23,0.32409
NO4,2022-01-01,0,0.46556
NO4,2022-01-01,1,0.41291
NO4,2022-01-01,2,0.4214
NO4,2022-01-01,3,0.44328
NO4,2022-01-01,4,0.37634
NO4,2022-01-01,5,0.39662
NO4,2022-01-01,6,0.40551
NO4,2022-01-01,7,0.43219
NO4,2022-01-01,8,0.49393
NO4,2022-01-01,9,0.49413
NO4,2022-01-01,10,0.49223
NO4,2022-01-01,11,0.48844
NO4,2022-01-01,12,0.48404
NO4,2022-01-01,13,0.44168
NO4,2022-01-01,14,0.4234
NO4,2022-01-01,15,0.4205
NO4,2022-01-01,16,0.4226
NO4,2022-01-01,17,0.40551
NO4,2022-01-01,18,0.40072
NO4,2022-01-01,19,0.38483
NO4,2022-01-01,20,0.34677
NO4,2022-01-01,21,0.32449
NO4,2022-01-01,22,0.32849
NO4,2022-01-01,23,0.32409
NO5,2022-01-01,0,1.32764
NO5,2022-01-01,1,1.29177
NO5,2022-01-01,2,1.31955
NO5,2022-01-01,3,1.11334
NO5,2022-01-01,4,1.12243
NO5,2022-01-01,5,1.13792
NO5,2022-01-01,6,1.22134
NO5,2022-01-01,7,1.18467
NO5,2022-01-01,8,1.18357
NO5,2022-01-01,9,1.17748
NO5,2022-01-01,10,1.19916
NO5,2022-01-01,11,1.16959
NO5,2022-01-01,12,1.17059
NO5,2022-01-01,13,1.19966
NO5,2022-01-01,14,1.24422
NO5,2022-01-01,15,1.24771
NO5,2022-01-01,16,1.35461
NO5,2022-01-01,17,1.49828
NO5,2022-01-01,18,1.50567
NO5,2022-01-01,19,1.43673
NO5,2022-01-01,20,1.40227
NO5,2022-01-01,21,1.39717
NO5,2022-01-01,22,1.34952
NO5,2022-01-01,23,1.23303
NO1,2022-01-02,0,1.13515
NO1,2022-01-02,1,1.11615
NO1,2022-01-02,2,1.06487
NO1,2022-01-02,3,1.04458
NO1,2022-01-02,4,1.04018
NO1,2022-01-02,5,1.05818
NO1,2022-01-02,6,1.11925
NO1,2022-01-02,7,1.05178
NO1,2022-01-02,8,1.11485
NO1,2022-01-02,9,1.15764
NO1,2022-01-02,10,1.21891
NO1,2022-01-02,11,1.21251
NO1,2022-01-02,12,1.12385
NO1,2022-01-02,13,1.11345
NO1,2022-01-02,14,1.11435
NO1,2022-01-02,15,1.18143
NO1,2022-01-02,16,1.22251
