area,mean_price,compensation,type,estimation_date,computation_year,computation_month
NO1,3.28269681437555,2.17781354070917,mean,2022-03-01,2022,3
NO1,3.2580421314826,2.14473791833434,median,2022-03-01,2022,3
NO1,0.337025224295448,0,quantile_0.005,2022-03-01,2022,3
NO1,0.652567088449733,0,quantile_0.025,2022-03-01,2022,3
NO1,0.962509675137848,0.0787587076240636,quantile_0.05,2022-03-01,2022,3
NO1,1.44016568921707,0.508649120295366,quantile_0.1,2022-03-01,2022,3
NO1,2.27480096454921,1.25982086809429,quantile_0.25,2022-03-01,2022,3
NO1,4.22682136506836,3.01663922856153,quantile_0.75,2022-03-01,2022,3
NO1,5.14100308581256,3.8394027772313,quantile_0.9,2022-03-01,2022,3
NO1,5.65054544021776,4.29799089619599,quantile_0.95,2022-03-01,2022,3
NO1,6.10353106118656,4.7056779550679,quantile_0.975,2022-03-01,2022,3
NO1,7.04905975290389,5.5566537776135,quantile_0.995,2022-03-01,2022,3
NO1,0.119534677419355,0,lower_bound,2022-03-01,2022,3
NO1,1.8527875,0.88000875,current_mean,2022-03-01,2022,3
NO2,3.25834596857093,2.15089945210849,mean,2022-03-01,2022,3
NO2,3.26064802130274,2.14708321917247,median,2022-03-01,2022,3
NO2,0.455636752088824,0,quantile_0.005,2022-03-01,2022,3
NO2,0.868856960977128,0,quantile_0.025,2022-03-01,2022,3
NO2,1.17558337527205,0.270525037744843,quantile_0.05,2022-03-01,2022,3
NO2,1.59237712558123,0.645639413023103,quantile_0.1,2022-03-01,2022,3
NO2,2.38013759859898,1.35462383873908,quantile_0.25,2022-03-01,2022,3
NO2,4.10419459662904,2.90627513696613,quantile_0.75,2022-03-01,2022,3
NO2,4.88150837113521,3.60585753402169,quantile_0.9,2022-03-01,2022,3
NO2,5.36480236375113,4.04082212737601,quantile_0.95,2022-03-01,2022,3
NO2,5.81987296964578,4.45038567268121,quantile_0.975,2022-03-01,2022,3
NO2,6.5648630931088,5.12087678379792,quantile_0.995,2022-03-01,2022,3
NO2,0.119534677419355,0,lower_bound,2022-03-01,2022,3
NO2,1.8527875,0.88000875,current_mean,2022-03-01,2022,3
NO3,0.676476103710287,0.212248057908578,mean,2022-03-01,2022,3
NO3,0.377139845342059,0,median,2022-03-01,2022,3
NO3,0.0107834677419355,0,quantile_0.005,2022-03-01,2022,3
NO3,0.0110096231335423,0,quantile_0.025,2022-03-01,2022,3
NO3,0.0123608047504041,0,quantile_0.05,2022-03-01,2022,3
NO3,0.0181141463750059,0,quantile_0.1,2022-03-01,2022,3
NO3,0.0732295495201339,0,quantile_0.25,2022-03-01,2022,3
NO3,1.05170706369196,0.159036357322764,quantile_0.75,2022-03-01,2022,3
NO3,1.81074286631144,0.842168579680292,quantile_0.9,2022-03-01,2022,3
NO3,2.28649670715267,1.27034703643741,quantile_0.95,2022-03-01,2022,3
NO3,2.70239842928412,1.6446585863557,quantile_0.975,2022-03-01,2022,3
NO3,3.45498353367446,2.32198518030702,quantile_0.995,2022-03-01,2022,3
NO3,0.0107834677419355,0,lower_bound,2022-03-01,2022,3
NO3,0.16714375,0,current_mean,2022-03-01,2022,3
NO4,0.510520603258423,0.106145550158364,mean,2022-03-01,2022,3
NO4,0.29059436591797,0,median,2022-03-01,2022,3
NO4,0.00862225806451613,0,quantile_0.005,2022-03-01,2022,3
NO4,0.00911229272225435,0,quantile_0.025,2022-03-01,2022,3
NO4,0.0105951301559207,0,quantile_0.05,2022-03-01,2022,3
NO4,0.016243003198035,0,quantile_0.1,2022-03-01,2022,3
NO4,0.0643296167932295,0,quantile_0.25,2022-03-01,2022,3
NO4,0.796097805456278,0,quantile_0.75,2022-03-01,2022,3
NO4,1.35065199613827,0.42808679652444,quantile_0.9,2022-03-01,2022,3
NO4,1.69493377313493,0.737940395821437,quantile_0.95,2022-03-01,2022,3
NO4,1.98695412969164,1.00075871672248,quantile_0.975,2022-03-01,2022,3
NO4,2.53231161632396,1.49158045469157,quantile_0.995,2022-03-01,2022,3
NO4,0.00862225806451613,0,lower_bound,2022-03-01,2022,3
NO4,0.133645,0,current_mean,2022-03-01,2022,3
NO5,2.96452717402589,1.88787815148545,mean,2022-03-01,2022,3
NO5,2.94682782159312,1.86464503943381,median,2022-03-01,2022,3
NO5,0.410765426377097,0,quantile_0.005,2022-03-01,2022,3
NO5,0.790604148426432,0,quantile_0.025,2022-03-01,2022,3
NO5,1.06603679977718,0.171933119799462,quantile_0.05,2022-03-01,2022,3
NO5,1.429746646003,0.499271981402703,quantile_0.1,2022-03-01,2022,3
NO5,2.14882189760707,1.14643970784636,quantile_0.25,2022-03-01,2022,3
NO5,3.76294090001097,2.59914681000988,quantile_0.75,2022-03-01,2022,3
NO5,4.4601433375684,3.22662900381156,quantile_0.9,2022-03-01,2022,3
NO5,4.88900988321029,3.61260889488926,quantile_0.95,2022-03-01,2022,3
NO5,5.2827895315929,3.96701057843361,quantile_0.975,2022-03-01,2022,3
NO5,6.11100597117348,4.71240537405614,quantile_0.995,2022-03-01,2022,3
NO5,0.119534677419355,0,lower_bound,2022-03-01,2022,3
NO5,1.8527875,0.88000875,current_mean,2022-03-01,2022,3
NO1,3.2649702965729,2.15811340924616,mean,2022-03-02,2022,3
NO1,3.24346401010596,2.13161760909536,median,2022-03-02,2022,3
NO1,0.427582108911598,0,quantile_0.005,2022-03-02,2022,3
NO1,0.783065416193541,0,quantile_0.025,2022-03-02,2022,3
NO1,1.07217599110899,0.177458391998094,quantile_0.05,2022-03-02,2022,3
NO1,1.48989507760265,0.553405569842389,quantile_0.1,2022-03-02,2022,3
