date,Nettselskap,fylkeNr,fastleddEks,fastleddInk,effekttrinnFraKw,effekttrinnTilKw
2023-11-20,ALUT AS,54,208.33,208.33,0,125
2023-11-20,ALUT AS,54,233.33,233.33,126,200
2023-11-20,ANDØY ENERGI NETT AS,18,307,307,0,5
2023-11-20,ANDØY ENERGI NETT AS,18,525,525,5,10
2023-11-20,ANDØY ENERGI NETT AS,18,743,743,10,15
2023-11-20,ANDØY ENERGI NETT AS,18,960,960,15,20
2023-11-20,ANDØY ENERGI NETT AS,18,1178,1178,20,25
2023-11-20,ANDØY ENERGI NETT AS,18,1838,1838,25,50
2023-11-20,ANDØY ENERGI NETT AS,54,307,307,0,5
2023-11-20,ANDØY ENERGI NETT AS,54,525,525,5,10
2023-11-20,ANDØY ENERGI NETT AS,54,743,743,10,15
2023-11-20,ANDØY ENERGI NETT AS,54,960,960,15,20
2023-11-20,ANDØY ENERGI NETT AS,54,1178,1178,20,25
2023-11-20,ANDØY ENERGI NETT AS,54,1838,1838,25,50
2023-11-20,ARVA AS,18,73,73,0,1.99
2023-11-20,ARVA AS,18,173.08,173.08,2,4.99
2023-11-20,ARVA AS,18,341.75,341.75,5,9.99
2023-11-20,ARVA AS,18,511.16,511.16,10,14.99
2023-11-20,ARVA AS,18,680.33,680.33,15,19.99
2023-11-20,ARVA AS,18,849.75,849.75,20,24.99
2023-11-20,ARVA AS,18,1696.16,1696.16,25,49.99
2023-11-20,ARVA AS,18,2542.25,2542.25,50,74.99
2023-11-20,ARVA AS,18,3388.25,3388.25,75,99.99
2023-11-20,ARVA AS,18,5111.66,5111.66,100,1000
2023-11-20,ARVA AS,54,73,73,0,1.99
2023-11-20,ARVA AS,54,173.08,173.08,2,4.99
2023-11-20,ARVA AS,54,341.75,341.75,5,9.99
2023-11-20,ARVA AS,54,511.16,511.16,10,14.99
2023-11-20,ARVA AS,54,680.33,680.33,15,19.99
2023-11-20,ARVA AS,54,849.75,849.75,20,24.99
2023-11-20,ARVA AS,54,1696.16,1696.16,25,49.99
2023-11-20,ARVA AS,54,2542.25,2542.25,50,74.99
2023-11-20,ARVA AS,54,3388.25,3388.25,75,99.99
2023-11-20,ARVA AS,54,5111.66,5111.66,100,1000
2023-11-20,ARVA AS*,54,73,73,0,1.99
2023-11-20,ARVA AS*,54,173.08,173.08,2,4.99
2023-11-20,ARVA AS*,54,341.75,341.75,5,9.99
2023-11-20,ARVA AS*,54,511.16,511.16,10,14.99
2023-11-20,ARVA AS*,54,680.33,680.33,15,19.99
2023-11-20,ARVA AS*,54,849.75,849.75,20,24.99
2023-11-20,ARVA AS*,54,1696.16,1696.16,25,49.99
2023-11-20,ARVA AS*,54,2542.25,2542.25,50,74.99
2023-11-20,ARVA AS*,54,3388.25,3388.25,75,99.99
2023-11-20,ARVA AS*,54,5111.66,5111.66,100,1000
2023-11-20,ASKER NETT AS,30,148,185,0,1.99
2023-11-20,ASKER NETT AS,30,184,230,2,4.99
2023-11-20,ASKER NETT AS,30,272,340,5,9.99
2023-11-20,ASKER NETT AS,30,568,710,10,14.99
2023-11-20,ASKER NETT AS,30,716,895,15,19.99
2023-11-20,ASKER NETT AS,30,904,1130,20,24.99
2023-11-20,ASKER NETT AS,30,1280,1600,25,49.99
2023-11-20,ASKER NETT AS,30,2032,2540,50,74.99
2023-11-20,ASKER NETT AS,30,2704,3380,75,99.99
2023-11-20,ASKER NETT AS,30,4320,5400,100,1000
2023-11-20,BARENTS NETT AS,54,465.75,465.75,0,2
2023-11-20,BARENTS NETT AS,54,512.33,512.33,2,5
2023-11-20,BARENTS NETT AS,54,558.91,558.91,5,10
2023-11-20,BARENTS NETT AS,54,605.5,605.5,10,15
2023-11-20,BARENTS NETT AS,54,698.66,698.66,15,20
2023-11-20,BARENTS NETT AS,54,838.33,838.33,20,1000
2023-11-20,BINDAL KRAFTLAG SA,18,197,197,0,4.99
2023-11-20,BINDAL KRAFTLAG SA,18,296,296,5,9.99
2023-11-20,BINDAL KRAFTLAG SA,18,454,454,10,14.99
2023-11-20,BINDAL KRAFTLAG SA,18,552,552,15,19.99
2023-11-20,BINDAL KRAFTLAG SA,18,671,671,20,24.99
2023-11-20,BKK AS,46,116,145,0,2
2023-11-20,BKK AS,46,192,240,2,5
2023-11-20,BKK AS,46,320,400,5,10
2023-11-20,BKK AS,46,456,570,10,15
2023-11-20,BKK AS,46,588,735,15,20
2023-11-20,BKK AS,46,720,900,20,25
2023-11-20,BKK AS,46,1380,1725,25,50
2023-11-20,BKK AS,46,2040,2550,50,75
2023-11-20,BKK AS,46,2700,3375,75,100
2023-11-20,BKK AS,46,5340,6675,100,1000
2023-11-20,BREHEIM NETT AS,46,180,225,0,5
2023-11-20,BREHEIM NETT AS,46,360,450,5,10
2023-11-20,BREHEIM NETT AS,46,540,675,10,15
2023-11-20,BREHEIM NETT AS,46,720,900,15,20
2023-11-20,BREHEIM NETT AS,46,910.41,1138.02,20,25
2023-11-20,BREHEIM NETT AS,46,1810.41,2263.02,25,50
2023-11-20,BREHEIM NETT AS,46,2720,3400,50,75
2023-11-20,BREHEIM NETT AS,46,3630.41,4538.02,75,100
2023-11-20,BREHEIM NETT AS,46,5440,6800,100,150
2023-11-20,BREHEIM NETT AS,46,7260,9075,150,200
2023-11-20,BREHEIM NETT AS,46,10890.33,13612.91,200,9999
2023-11-20,BØMLO KRAFTNETT AS,46,133.33,166.66,0,2
2023-11-20,BØMLO KRAFTNETT AS,46,200,250,2,5
2023-11-20,BØMLO KRAFTNETT AS,46,266.66,333.33,5,10
2023-11-20,BØMLO KRAFTNETT AS,46,333.33,416.66,10,15
2023-11-20,BØMLO KRAFTNETT AS,46,433.33,541.66,15,20
2023-11-20,BØMLO KRAFTNETT AS,46,533.33,666.66,20,25
2023-11-20,BØMLO KRAFTNETT AS,46,1333.33,1666.66,25,50
2023-11-20,BØMLO KRAFTNETT AS,46,2000,2500,50,75
2023-11-20,BØMLO KRAFTNETT AS,46,2666.66,3333.33,75,100
2023-11-20,BØMLO KRAFTNETT AS,46,3333.33,4166.66,100,10000
2023-11-20,DE NETT AS,38,198,247.5,0,2
2023-11-20,DE NETT AS,38,255,318.75,2,5
2023-11-20,DE NETT AS,38,313,391.25,5,10
2023-11-20,DE NETT AS,38,429,536.25,10,15
2023-11-20,DE NETT AS,38,544,680,15,20
2023-11-20,DE NETT AS,38,660,825,20,25
2023-11-20,DE NETT AS,38,1006,1257.5,25,50
2023-11-20,DE NETT AS,38,1585,1981.25,50,75
2023-11-20,DE NETT AS,38,2162,2702.5,75,100
2023-11-20,DE NETT AS,38,3033,3791.25,100,150
2023-11-20,DE NETT AS,38,4189,5236.25,150,200
2023-11-20,DE NETT AS,38,5923,7403.75,200,999999
2023-11-20,EL-VERKET HØLAND AS,30,120,150,0,2
2023-11-20,EL-VERKET HØLAND AS,30,200,250,2,5
2023-11-20,EL-VERKET HØLAND AS,30,280,350,5,10
2023-11-20,EL-VERKET HØLAND AS,30,400,500,10,15
2023-11-20,EL-VERKET HØLAND AS,30,520,650,15,20
2023-11-20,EL-VERKET HØLAND AS,30,640,800,20,25
2023-11-20,EL-VERKET HØLAND AS,30,1200,1500,25,50
2023-11-20,EL-VERKET HØLAND AS,30,2000,2500,50,75
2023-11-20,EL-VERKET HØLAND AS,30,3200,4000,75,100
2023-11-20,EL-VERKET HØLAND AS,30,4400,5500,100,9999
2023-11-20,ELINETT AS,15,140,175,0,2
2023-11-20,ELINETT AS,15,176,220,2,5
2023-11-20,ELINETT AS,15,212,265,5,10
2023-11-20,ELINETT AS,15,352,440,10,15
2023-11-20,ELINETT AS,15,424,530,15,20
2023-11-20,ELINETT AS,15,496,620,20,25
2023-11-20,ELINETT AS,15,708,885,25,50
2023-11-20,ELINETT AS,15,776,970,50,75
2023-11-20,ELINETT AS,15,848,1060,75,100
2023-11-20,ELINETT AS,15,1060,1325,100,99999
2023-11-20,ELMEA AS,18,276.68,276.68,0,2
2023-11-20,ELMEA AS,18,413,413,2,5
2023-11-20,ELMEA AS,18,631.09,631.09,5,10
2023-11-20,ELMEA AS,18,903.82,903.82,10,15
2023-11-20,ELMEA AS,18,1176.45,1176.45,15,20
2023-11-20,ELMEA AS,18,1449.2,1449.2,20,25
2023-11-20,ELMEA AS,18,2267.1,2267.1,25,50
2023-11-20,ELMEA AS,18,3630.47,3630.47,50,75
2023-11-20,ELMEA AS,18,4993.74,4993.74,75,100
2023-11-20,ELMEA AS,18,9765.45,9765.45,100,200
2023-11-20,ELMEA AS,18,20672.15,20672.15,200,9999
2023-11-20,ELVENETT AS,30,244.25,305.31,0,2
2023-11-20,ELVENETT AS,30,293.16,366.45,2,5
2023-11-20,ELVENETT AS,30,317.58,396.97,5,10
2023-11-20,ELVENETT AS,30,342,427.5,10,15
2023-11-20,ELVENETT AS,30,366.41,458.02,15,20
2023-11-20,ELVENETT AS,30,427.5,534.37,20,25
2023-11-20,ELVENETT AS,30,464.08,580.1,25,10000
2023-11-20,ELVIA AS,30,92,115,0,2
2023-11-20,ELVIA AS,30,144,180,2,5
2023-11-20,ELVIA AS,30,230,287.5,5,10
2023-11-20,ELVIA AS,30,316,395,10,15
2023-11-20,ELVIA AS,30,402,502.5,15,20
2023-11-20,ELVIA AS,30,488,610,20,25
2023-11-20,ELVIA AS,30,918,1147.5,25,50
2023-11-20,ELVIA AS,30,1348,1685,50,75
2023-11-20,ELVIA AS,30,1778,2222.5,75,100
2023-11-20,ELVIA AS,30,3556,4445,100,1000
2023-11-20,ELVIA AS,34,92,115,0,2
2023-11-20,ELVIA AS,34,144,180,2,5
2023-11-20,ELVIA AS,34,230,287.5,5,10
2023-11-20,ELVIA AS,34,316,395,10,15
2023-11-20,ELVIA AS,34,402,502.5,15,20
2023-11-20,ELVIA AS,34,488,610,20,25
2023-11-20,ELVIA AS,34,918,1147.5,25,50
2023-11-20,ELVIA AS,34,1348,1685,50,75
2023-11-20,ELVIA AS,34,1778,2222.5,75,100
