date,Nettselskap,fylkeNr,fastleddEks,fastleddInk,effekttrinnFraKw,effekttrinnTilKw
2024-11-04,ALUT AS,55,291.67,291.67,0,125
2024-11-04,ALUT AS,55,375,375,126,200
2024-11-04,ALUT AS,56,291.67,291.67,0,125
2024-11-04,ALUT AS,56,375,375,126,200
2024-11-04,ARVA AS,18,84.92,84.92,0,1.99
2024-11-04,ARVA AS,18,201.25,201.25,2,4.99
2024-11-04,ARVA AS,18,398.42,398.42,5,9.99
2024-11-04,ARVA AS,18,595.42,595.42,10,14.99
2024-11-04,ARVA AS,18,792.33,792.33,15,19.99
2024-11-04,ARVA AS,18,989.33,989.33,20,24.99
2024-11-04,ARVA AS,18,1972.17,1972.17,25,49.99
2024-11-04,ARVA AS,18,2955.25,2955.25,50,74.99
2024-11-04,ARVA AS,18,3938.42,3938.42,75,99.99
2024-11-04,ARVA AS,18,5944.5,5944.5,100,1000
2024-11-04,ARVA AS,55,84.92,84.92,0,1.99
2024-11-04,ARVA AS,55,201.25,201.25,2,4.99
2024-11-04,ARVA AS,55,398.42,398.42,5,9.99
2024-11-04,ARVA AS,55,595.42,595.42,10,14.99
2024-11-04,ARVA AS,55,792.33,792.33,15,19.99
2024-11-04,ARVA AS,55,989.33,989.33,20,24.99
2024-11-04,ARVA AS,55,1972.17,1972.17,25,49.99
2024-11-04,ARVA AS,55,2955.25,2955.25,50,74.99
2024-11-04,ARVA AS,55,3938.42,3938.42,75,99.99
2024-11-04,ARVA AS,55,5944.5,5944.5,100,1000
2024-11-04,ARVA AS*,55,84.92,84.92,0,1.99
2024-11-04,ARVA AS*,55,201.25,201.25,2,4.99
2024-11-04,ARVA AS*,55,398.42,398.42,5,9.99
2024-11-04,ARVA AS*,55,595.42,595.42,10,14.99
2024-11-04,ARVA AS*,55,792.33,792.33,15,19.99
2024-11-04,ARVA AS*,55,989.33,989.33,20,24.99
2024-11-04,ARVA AS*,55,1972.17,1972.17,25,49.99
2024-11-04,ARVA AS*,55,2955.25,2955.25,50,74.99
2024-11-04,ARVA AS*,55,3938.42,3938.42,75,99.99
2024-11-04,ARVA AS*,55,5944.5,5944.5,100,1000
2024-11-04,ASKER NETT AS,32,148,185,0,1.99
2024-11-04,ASKER NETT AS,32,184,230,2,4.99
2024-11-04,ASKER NETT AS,32,272,340,5,9.99
2024-11-04,ASKER NETT AS,32,568,710,10,14.99
2024-11-04,ASKER NETT AS,32,716,895,15,19.99
2024-11-04,ASKER NETT AS,32,904,1130,20,24.99
2024-11-04,ASKER NETT AS,32,1280,1600,25,49.99
2024-11-04,ASKER NETT AS,32,2032,2540,50,74.99
2024-11-04,ASKER NETT AS,32,2704,3380,75,99.99
2024-11-04,ASKER NETT AS,32,4320,5400,100,1000
2024-11-04,BARENTS NETT AS,56,602,602,0,2
2024-11-04,BARENTS NETT AS,56,662,662,2,5
2024-11-04,BARENTS NETT AS,56,722,722,5,10
2024-11-04,BARENTS NETT AS,56,782,782,10,15
2024-11-04,BARENTS NETT AS,56,903,903,15,20
2024-11-04,BARENTS NETT AS,56,1084,1084,20,1000
2024-11-04,BINDAL KRAFTLAG SA,18,263.92,263.92,0,4.99
2024-11-04,BINDAL KRAFTLAG SA,18,395,395,5,9.99
2024-11-04,BINDAL KRAFTLAG SA,18,580,580,10,14.99
2024-11-04,BINDAL KRAFTLAG SA,18,738,738,15,19.99
2024-11-04,BINDAL KRAFTLAG SA,18,896,896,20,24.99
2024-11-04,BKK AS,46,116,145,0,2
2024-11-04,BKK AS,46,192,240,2,5
2024-11-04,BKK AS,46,320,400,5,10
2024-11-04,BKK AS,46,456,570,10,15
2024-11-04,BKK AS,46,588,735,15,20
2024-11-04,BKK AS,46,720,900,20,25
2024-11-04,BKK AS,46,1380,1725,25,50
2024-11-04,BKK AS,46,2040,2550,50,75
2024-11-04,BKK AS,46,2700,3375,75,100
2024-11-04,BKK AS,46,5340,6675,100,1000
2024-11-04,BREHEIM NETT AS,46,180,225,0,5
2024-11-04,BREHEIM NETT AS,46,360,450,5,10
2024-11-04,BREHEIM NETT AS,46,540,675,10,15
2024-11-04,BREHEIM NETT AS,46,720,900,15,20
2024-11-04,BREHEIM NETT AS,46,910.42,1138.02,20,25
2024-11-04,BREHEIM NETT AS,46,1810.42,2263.02,25,50
2024-11-04,BREHEIM NETT AS,46,2720,3400,50,75
2024-11-04,BREHEIM NETT AS,46,3630.42,4538.02,75,100
2024-11-04,BREHEIM NETT AS,46,5440,6800,100,150
2024-11-04,BREHEIM NETT AS,46,7260,9075,150,200
2024-11-04,BREHEIM NETT AS,46,10890.33,13612.92,200,9999
2024-11-04,BØMLO KRAFTNETT AS,46,160,200,0,2
