nettselskap,konsesjonType,eierType,NO 1,NO 2,NO 3,NO 4,NO 5
3B FIBERGLASS NORWAY AS,VANLIG,INDUSTRI,0,95569.6496451013,0,0,0
A/S Norske Shell,VANLIG,INDUSTRI,0,0,1088995.50685914,0,0
AGDER ENERGI NETT AS,VANLIG,EVERK,0,23187467838.6396,0,0,0
AIBEL AS AVD HAUGESUND, ,INDUSTRI,0,174032.761087532,0,0,0
AIBEL AS AVD HAUGESUND_dup_1, ,INDUSTRI,0,17139.3438725404,0,0,0
AKTIESELSKABET SAUDEFALDENE AS,VANLIG,KRAFTVERK,0,237325.185296035,0,0,0
ALCOA NORWAY ANS, ,INDUSTRI,0,0,0,539302.395315845,0
ALUT AS,VANLIG,EVERK,0,0,0,7389278227.50969,0
ANDØY ENERGI NETT AS,VANLIG,EVERK,0,0,0,2841540172.34707,0
ARVA AS,VANLIG,EVERK,0,0,0,6231587329.00087,0
ARVA AS_dup_1,VANLIG,EVERK,0,0,0,9800516534.1018,0
ARVA AS_dup_2,VANLIG,EVERK,0,0,0,28316084237.1099,0
ASKER NETT AS,VANLIG,EVERK,260914256.509967,0.234608963131905,0,0,0
AVINOR AS,FORENKLET,SAMFERDSEL,0,3504810.56109452,0,0,0
Aktieselskabet Saudefaldene,VANLIG,KRAFTVERK,0,237187323.468314,0,0,0
BARENTS NETT AS,VANLIG,EVERK,0,0,0,20948967714.5505,0
BINDAL KRAFTLAG SA,VANLIG,EVERK,0,0,5491773.44878251,1637928111.46373,0
BKK NETT AS,UTVIDET 132,EVERK,0,353453172.629018,0,0,0
BKK NETT AS_dup_1,UTVIDET 132,EVERK,0,1910757529.36645,5492553646.53545,0,8327433003.88702
BOLIDEN ODDA AS,FORENKLET,INDUSTRI,0,422482.620965108,0,0,0
BORREGAARD AS,VANLIG,INDUSTRI,1166425.02576872,0,0,0,0
BORREGAARD AS_dup_1,VANLIG,INDUSTRI,347713.248588714,0,0,0,0
BREHEIM NETT AS,VANLIG,EVERK,0,0,9472.8685304964,0,2814873837.25376
