datoId,konsesjonar,organisasjonsnr,fylkeNr
2024-11-01,ELVIA AS,980489698,03
2024-11-01,GLITRE NETT AS,982974011,03
2024-11-01,GLITRE NETT AS,982974011,11
2024-11-01,ENIDA AS,918312730,11
2024-11-01,FAGNE AS,915635857,11
2024-11-01,KE NETT AS,977285712,11
2024-11-01,JÃ†REN EVERK AS,824914982,11
2024-11-01,LNETT AS,980038408,11
2024-11-01,MELLOM AS,925668389,15
2024-11-01,LINJA AS,912631532,15
2024-11-01,ELINETT AS,979379455,15
2024-11-01,NORDVEST NETT AS,980824586,15
2024-11-01,ROMSDALSNETT AS,926377841,15
2024-11-01,S-NETT AS,923819177,15
2024-11-01,STRAUMEN NETT AS,925354813,15
2024-11-01,SUNETT AS,924330678,15
2024-11-01,VESTALL AS,968168134,18
2024-11-01,TENSIO TN AS,988807648,18
2024-11-01,NORANETT AS,985411131,18
2024-11-01,ELMEA AS,986347801,18
2024-11-01,ARVA AS,979151950,18
2024-11-01,BINDAL KRAFTLAG SA,953181606,18
2024-11-01,MELÃ˜Y NETT AS,919173122,18
2024-11-01,LINEA AS,917424799,18
2024-11-01,NORANETT ANDÃ˜Y AS,921680554,18
2024-11-01,NORANETT HADSEL AS,917983550,18
2024-11-01,ISALTEN NETT AS,914385261,18
2024-11-01,KYSTNETT AS,923152601,18
2024-11-01,ELVIA AS,980489698,31
2024-11-01,NORGESNETT AS,980234088,31
2024-11-01,RAKKESTAD ENERGI AS,968398083,31
2024-11-01,NORGESNETT AS,980234088,32
2024-11-01,ASKER NETT AS,917743193,32
2024-11-01,FÃ˜IE AS,987626844,32
2024-11-01,ELVIA AS,980489698,32
2024-11-01,GLITRE NETT AS,982974011,32
2024-11-01,HÃ˜LAND OG SETSKOG ELVERK AS,923488960,32
2024-11-01,HALLINGDAL KRAFTNETT AS,971589752,33
2024-11-01,ELVIA AS,980489698,33
2024-11-01,HEMSIL NETT AS,923050612,33
2024-11-01,LEDE AS,979422679,33
2024-11-01,MIDTNETT AS,917856222,33
2024-11-01,FÃ˜IE AS,987626844,33
2024-11-01,GLITRE NETT AS,982974011,33
2024-11-01,ELVENETT AS,979497482,33
2024-11-01,NOREFJELL NETT AS,824701482,33
2024-11-01,ROLLAG NETT AS,925067911,33
2024-11-01,UVDAL KRAFTFORSYNING SA,967670170,33
2024-11-01,VANG ENERGIVERK AS,824368082,34
2024-11-01,VEVIG AS,916319908,34
2024-11-01,SYGNIR AS,924619260,34
2024-11-01,SÃ˜R AURDAL ENERGI AS,997712099,34
2024-11-01,TENSIO TS AS,978631029,34
2024-11-01,RÃ˜ROS E-VERK NETT AS,919884452,34
2024-11-01,ELVIA AS,980489698,34
2024-11-01,GLITRE NETT AS,982974011,34
2024-11-01,GRIUG AS,953681781,34
2024-11-01,ETNA NETT AS,882783022,34
2024-11-01,KLIVE AS,923436596,34
2024-11-01,LEDE AS,979422679,39
2024-11-01,LEDE AS,979422679,40
2024-11-01,FÃ˜RE AS,925549738,40
2024-11-01,EVERKET AS,966731508,40
2024-11-01,GLITRE NETT AS,982974011,40
2024-11-01,DE NETT AS,924862602,40
2024-11-01,TINFOS AS,916763476,40
2024-11-01,TELEMARK NETT AS,925803375,40
2024-11-01,VESTMAR NETT AS,979399901,40
2024-11-01,RK NETT AS,925017809,40
2024-11-01,STANNUM AS,924940379,40
2024-11-01,TINFOS AS,916763476,42
2024-11-01,ENIDA AS,918312730,42
2024-11-01,GLITRE NETT AS,982974011,42
2024-11-01,INDRE HORDALAND KRAFTNETT AS,919415096,46
2024-11-01,LINJA AS,912631532,46
2024-11-01,KVAM ENERGI NETT AS,923789324,46
2024-11-01,LYSNA AS,923833706,46
2024-11-01,MODALEN KRAFTLAG SA,877051412,46
2024-11-01,HAVNETT AS,924004150,46
2024-11-01,GLITRE NETT AS,982974011,46
2024-11-01,BKK AS,976944801,46
2024-11-01,FAGNE AS,915635857,46
