postnr,poststed,kommune,NO 1,NO 2,NO 3,NO 4,NO 5
0010,OSLO,0301,210284.730299946,0,0,0,0
0015,OSLO,0301,122079.152100001,0,0,0,0
0026,OSLO,0301,11735.5681499669,0,0,0,0
0037,OSLO,0301,9717.90950002315,0,0,0,0
0050,OSLO,0301,10853.6773000117,0,0,0,0
0139,OSLO,0301,705040.46169994,0,0,0,0
0150,OSLO,0301,9405000.58980014,0,0,0,0
0151,OSLO,0301,150064.441549917,0,0,0,0
0151,OSLO,0301,3187.42500000913,0,0,0,0
0152,OSLO,0301,94411.8117000712,0,0,0,0
0153,OSLO,0301,21719.0006499477,0,0,0,0
0153,OSLO,0301,35726.67569998,0,0,0,0
0154,OSLO,0301,90703.4101000172,0,0,0,0
0155,OSLO,0301,59022.1144999319,0,0,0,0
0157,OSLO,0301,778.355099994689,0,0,0,0
0157,OSLO,0301,37705.6289000451,0,0,0,0
0157,OSLO,0301,5643.38149996568,0,0,0,0
0158,OSLO,0301,44946.8120499309,0,0,0,0
0158,OSLO,0301,4782.93499999214,0,0,0,0
0159,OSLO,0301,3397.63194999758,0,0,0,0
0159,OSLO,0301,45394.1689001261,0,0,0,0
0160,OSLO,0301,204562.511499968,0,0,0,0
0161,OSLO,0301,74124.8113500029,0,0,0,0
0162,OSLO,0301,59325.2961499654,0,0,0,0
0164,OSLO,0301,102018.581700038,0,0,0,0
0165,OSLO,0301,178390.572700053,0,0,0,0
0166,OSLO,0301,90365.601700044,0,0,0,0
0167,OSLO,0301,86935.0493999952,0,0,0,0
0168,OSLO,0301,128134.777049992,0,0,0,0
0169,OSLO,0301,96450.5893999487,0,0,0,0
0170,OSLO,0301,111334.745600018,0,0,0,0
0171,OSLO,0301,196608.44185024,0,0,0,0
0172,OSLO,0301,151782.246949966,0,0,0,0
0173,OSLO,0301,69824.9614999774,0,0,0,0
0174,OSLO,0301,23269.0850500613,0,0,0,0
0175,OSLO,0301,128180.370100024,0,0,0,0
0176,OSLO,0301,66246.5931500048,0,0,0,0
0177,OSLO,0301,127389.767800141,0,0,0,0
0178,OSLO,0301,82726.2583000115,0,0,0,0
0179,OSLO,0301,90506.6963499785,0,0,0,0
0180,OSLO,0301,72690.5916499514,0,0,0,0
0181,OSLO,0301,56441.0889499914,0,0,0,0
0182,OSLO,0301,142185.315049981,0,0,0,0
0183,OSLO,0301,77204.6236499567,0,0,0,0
0184,OSLO,0301,41777.2633500823,0,0,0,0
0185,OSLO,0301,69876.455199996,0,0,0,0
0186,OSLO,0301,92014.7551000249,0,0,0,0
0187,OSLO,0301,107636.699899999,0,0,0,0
0188,OSLO,0301,63708.4436999917,0,0,0,0
0190,OSLO,0301,139079.99174992,0,0,0,0
0191,OSLO,0301,391768.044599995,0,0,0,0
0192,OSLO,0301,384145.359299997,0,0,0,0
0193,OSLO,0301,1999173.06275006,0,0,0,0
0194,OSLO,0301,402573.180700094,0,0,0,0
0195,OSLO,0301,219697.198950059,0,0,0,0
0196,OSLO,0301,410390.252399987,0,0,0,0
0198,OSLO,0301,6211271.76314974,0,0,0,0
0250,OSLO,0301,1162196.37290034,0,0,0,0
0251,OSLO,0301,62888.2292001037,0,0,0,0
0252,OSLO,0301,311645.24429995,0,0,0,0
0253,OSLO,0301,7907.74459999939,0,0,0,0
0253,OSLO,0301,9075.12489996292,0,0,0,0
0253,OSLO,0301,41658.7935999488,0,0,0,0
0254,OSLO,0301,88922.4987501218,0,0,0,0
0255,OSLO,0301,57673.4421499963,0,0,0,0
0256,OSLO,0301,5837.90415000264,0,0,0,0
0256,OSLO,0301,88919.7372499872,0,0,0,0
0257,OSLO,0301,94016.671550056,0,0,0,0
0258,OSLO,0301,117352.602700017,0,0,0,0
0259,OSLO,0301,160235.598850044,0,0,0,0
0260,OSLO,0301,234499.339400058,0,0,0,0
0262,OSLO,0301,36920.8787499699,0,0,0,0
0263,OSLO,0301,85149.5055499428,0,0,0,0
0264,OSLO,0301,156582.427249887,0,0,0,0
0264,OSLO,0301,12584.6927500227,0,0,0,0
0265,OSLO,0301,7064.06420001621,0,0,0,0
0265,OSLO,0301,57149.3329000957,0,0,0,0
0266,OSLO,0301,232715.057599893,0,0,0,0
0267,OSLO,0301,45353.2378000319,0,0,0,0
0267,OSLO,0301,17811.3559999636,0,0,0,0
0268,OSLO,0301,497846.491199911,0,0,0,0
0270,OSLO,0301,152912.731449941,0,0,0,0
0271,OSLO,0301,367619.605899841,0,0,0,0
0272,OSLO,0301,73179.824350033,0,0,0,0
0272,OSLO,0301,19269.3832499823,0,0,0,0
0273,OSLO,0301,369496.860200018,0,0,0,0
0274,OSLO,0301,363495.325200148,0,0,0,0
0275,OSLO,0301,414537.492700147,0,0,0,0
0276,OSLO,0301,293652.713299925,0,0,0,0
0277,OSLO,0301,615792.401099771,0,0,0,0
0278,OSLO,0301,88364.5931999385,0,0,0,0
0279,OSLO,0301,30180.2993499637,0,0,0,0
0280,OSLO,0301,548386.799599879,0,0,0,0
0281,OSLO,0301,612851.026200253,0,0,0,0
0282,OSLO,0301,386596.122449968,0,0,0,0
0283,OSLO,0301,1008760.0903999,0,0,0,0
0284,OSLO,0301,558103.261899872,0,0,0,0
0286,OSLO,0301,3848575.7210996,0,0,0,0
0287,OSLO,0301,5230580.99400045,0,0,0,0
0340,OSLO,0301,57455.5258999504,0,0,0,0
0349,OSLO,0301,10055.3354999833,0,0,0,0
0350,OSLO,0301,69819.2962500204,0,0,0,0
0351,OSLO,0301,54273.6361499503,0,0,0,0
0351,OSLO,0301,27253.3378000353,0,0,0,0
0352,OSLO,0301,67224.3021999933,0,0,0,0
0352,OSLO,0301,7523.16729999124,0,0,0,0
0353,OSLO,0301,56772.6062000459,0,0,0,0
0354,OSLO,0301,144477.351199899,0,0,0,0
0355,OSLO,0301,78860.670749981,0,0,0,0
0356,OSLO,0301,62066.8569500223,0,0,0,0
0357,OSLO,0301,2861.57870001718,0,0,0,0
0357,OSLO,0301,40822.8530499913,0,0,0,0
0358,OSLO,0301,145447.455849994,0,0,0,0
0359,OSLO,0301,11414.8640999896,0,0,0,0
0360,OSLO,0301,76279.1816499881,0,0,0,0
0361,OSLO,0301,202158.459349994,0,0,0,0
0362,OSLO,0301,60885.3577000834,0,0,0,0
0362,OSLO,0301,30957.5142499451,0,0,0,0
0363,OSLO,0301,3906.8599500258,0,0,0,0
0363,OSLO,0301,6673.04649994848,0,0,0,0
0363,OSLO,0301,154328.032699943,0,0,0,0
0364,OSLO,0301,68853.0503001073,0,0,0,0
0365,OSLO,0301,51088.4520999799,0,0,0,0
0366,OSLO,0301,79723.3716499754,0,0,0,0
0367,OSLO,0301,82465.1072000467,0,0,0,0
0368,OSLO,0301,201520.259000104,0,0,0,0
0368,OSLO,0301,2964.83224997995,0,0,0,0
0369,OSLO,0301,599917.007800236,0,0,0,0
0370,OSLO,0301,347644.934299957,0,0,0,0
0371,OSLO,0301,533268.671900051,0,0,0,0
0372,OSLO,0301,1094827.91874984,0,0,0,0
0373,OSLO,0301,766355.114300151,0,0,0,0
0374,OSLO,0301,687619.420050073,0,0,0,0
0375,OSLO,0301,609946.325600138,0,0,0,0
0376,OSLO,0301,887326.916000011,0,0,0,0
0377,OSLO,0301,674547.864199668,0,0,0,0
0378,OSLO,0301,1044316.03114992,0,0,0,0
0379,OSLO,0301,636566.69565003,0,0,0,0
0380,OSLO,0301,422543.588750017,0,0,0,0
0381,OSLO,0301,258484.678250194,0,0,0,0
0382,OSLO,0301,74878.7963500251,0,0,0,0
0382,OSLO,0301,588018.205299995,0,0,0,0
0383,OSLO,0301,554316.990400193,0,0,0,0
0445,OSLO,0301,21365.1087500223,0,0,0,0
0450,OSLO,0301,374212.722450081,0,0,0,0
0451,OSLO,0301,118588.486599991,0,0,0,0
0452,OSLO,0301,35540.4132500365,0,0,0,0
0454,OSLO,0301,201013.645800024,0,0,0,0
