postnr,nettselskap,prisomraade,intersection_area
0010,ELVIA AS,NO 1,210284.730299946
0015,ELVIA AS,NO 1,122079.152100001
0026,ELVIA AS,NO 1,11735.5681499669
0037,ELVIA AS,NO 1,9717.90950002315
0050,ELVIA AS,NO 1,10853.6773000117
0139,ELVIA AS,NO 1,705040.46169994
0150,ELVIA AS,NO 1,9404688.17242419
0150,NORGESNETT AS,NO 1,312.417375919678
0151,ELVIA AS,NO 1,150064.441549917
0151,ELVIA AS,NO 1,3187.42500000913
0152,ELVIA AS,NO 1,94411.8117000712
0153,ELVIA AS,NO 1,35726.67569998
0153,ELVIA AS,NO 1,21719.0006499477
0154,ELVIA AS,NO 1,90703.4101000172
0155,ELVIA AS,NO 1,59022.1144999319
0157,ELVIA AS,NO 1,37705.6289000451
0157,ELVIA AS,NO 1,5643.38149996568
0157,ELVIA AS,NO 1,778.355099994689
0158,ELVIA AS,NO 1,44946.8120499309
0158,ELVIA AS,NO 1,4782.93499999214
0159,ELVIA AS,NO 1,45394.1689001261
0159,ELVIA AS,NO 1,3397.63194999758
0160,ELVIA AS,NO 1,204562.511499968
0161,ELVIA AS,NO 1,74124.8113500029
0162,ELVIA AS,NO 1,59325.2961499654
0164,ELVIA AS,NO 1,102018.581700038
0165,ELVIA AS,NO 1,178390.572700053
0166,ELVIA AS,NO 1,90365.601700044
0167,ELVIA AS,NO 1,86935.0493999952
0168,ELVIA AS,NO 1,128134.777049992
0169,ELVIA AS,NO 1,96450.5893999487
0170,ELVIA AS,NO 1,111334.745600018
0171,ELVIA AS,NO 1,196608.44185024
0172,ELVIA AS,NO 1,151782.246949966
0173,ELVIA AS,NO 1,69824.9614999774
0174,ELVIA AS,NO 1,23269.0850500613
0175,ELVIA AS,NO 1,128180.370100024
0176,ELVIA AS,NO 1,66246.5931500048
0177,ELVIA AS,NO 1,127389.767800141
0178,ELVIA AS,NO 1,82726.2583000115
0179,ELVIA AS,NO 1,90506.6963499785
0180,ELVIA AS,NO 1,72690.5916499514
0181,ELVIA AS,NO 1,56441.0889499914
0182,ELVIA AS,NO 1,142185.315049981
0183,ELVIA AS,NO 1,77204.6236499567
0184,ELVIA AS,NO 1,41777.2633500823
0185,ELVIA AS,NO 1,69876.455199996
0186,ELVIA AS,NO 1,92014.7551000249
0187,ELVIA AS,NO 1,107636.699899999
0188,ELVIA AS,NO 1,63708.4436999917
0190,ELVIA AS,NO 1,139079.99174992
0191,ELVIA AS,NO 1,391768.044599995
0192,ELVIA AS,NO 1,384145.359299997
0193,ELVIA AS,NO 1,1999173.06275006
0194,ELVIA AS,NO 1,402573.180700094
0195,ELVIA AS,NO 1,219697.198950059
0196,ELVIA AS,NO 1,410390.252399987
0198,ELVIA AS,NO 1,6206828.21654508
0198,NORGESNETT AS,NO 1,4443.54660439491
0250,ELVIA AS,NO 1,1162196.37290034
0251,ELVIA AS,NO 1,62888.2292001037
0252,ELVIA AS,NO 1,311645.24429995
0253,ELVIA AS,NO 1,41658.7935999488
0253,ELVIA AS,NO 1,9075.12489996292
0253,ELVIA AS,NO 1,7907.74459999939
0254,ELVIA AS,NO 1,88922.4987501218
0255,ELVIA AS,NO 1,57673.4421499963
0256,ELVIA AS,NO 1,88919.7372499872
0256,ELVIA AS,NO 1,5837.90415000264
0257,ELVIA AS,NO 1,94016.671550056
0258,ELVIA AS,NO 1,117352.602700017
0259,ELVIA AS,NO 1,160235.598850044
0260,ELVIA AS,NO 1,234499.339400058
0262,ELVIA AS,NO 1,36920.8787499699
0263,ELVIA AS,NO 1,85149.5055499428
0264,ELVIA AS,NO 1,156582.427249887
0264,ELVIA AS,NO 1,12584.6927500227
0265,ELVIA AS,NO 1,57149.3329000957
0265,ELVIA AS,NO 1,7064.06420001621
0266,ELVIA AS,NO 1,232715.057599893
0267,ELVIA AS,NO 1,45353.2378000319
0267,ELVIA AS,NO 1,17811.3559999636
0268,ELVIA AS,NO 1,497846.491199911
0270,ELVIA AS,NO 1,152912.731449941
0271,ELVIA AS,NO 1,367619.605899841
0272,ELVIA AS,NO 1,73179.824350033
0272,ELVIA AS,NO 1,19269.3832499823
0273,ELVIA AS,NO 1,369496.860200018
0274,ELVIA AS,NO 1,363495.325200148
0275,ELVIA AS,NO 1,414537.492700147
0276,ELVIA AS,NO 1,293652.713299925
0277,ELVIA AS,NO 1,615792.401099771
0278,ELVIA AS,NO 1,88364.5931999385
0279,ELVIA AS,NO 1,30180.2993499637
0280,ELVIA AS,NO 1,548386.799599879
0281,ELVIA AS,NO 1,612851.026200253
0282,ELVIA AS,NO 1,386596.122449968
0283,ELVIA AS,NO 1,1008760.0903999
0284,ELVIA AS,NO 1,558103.261899872
0286,ELVIA AS,NO 1,3848203.39718169
0286,NORGESNETT AS,NO 1,372.3239187859
0287,ELVIA AS,NO 1,5230580.99400045
0340,ELVIA AS,NO 1,57455.5258999504
0349,ELVIA AS,NO 1,10055.3354999833
0350,ELVIA AS,NO 1,69819.2962500204
0351,ELVIA AS,NO 1,54273.6361499503
0351,ELVIA AS,NO 1,27253.3378000353
0352,ELVIA AS,NO 1,67224.3021999933
0352,ELVIA AS,NO 1,7523.16729999124
0353,ELVIA AS,NO 1,56772.6062000459
0354,ELVIA AS,NO 1,144477.351199899
0355,ELVIA AS,NO 1,78860.670749981
0356,ELVIA AS,NO 1,62066.8569500223
0357,ELVIA AS,NO 1,40822.8530499913
0357,ELVIA AS,NO 1,2861.57870001718
0358,ELVIA AS,NO 1,145447.455849994
0359,ELVIA AS,NO 1,11414.8640999896
0360,ELVIA AS,NO 1,76279.1816499881
0361,ELVIA AS,NO 1,202158.459349994
0362,ELVIA AS,NO 1,60885.3577000834
0362,ELVIA AS,NO 1,30957.5142499451
0363,ELVIA AS,NO 1,154328.032699943
0363,ELVIA AS,NO 1,6673.04649994848
0363,ELVIA AS,NO 1,3906.8599500258
0364,ELVIA AS,NO 1,68853.0503001073
0365,ELVIA AS,NO 1,51088.4520999799
0366,ELVIA AS,NO 1,79723.3716499754
0367,ELVIA AS,NO 1,82465.1072000467
0368,ELVIA AS,NO 1,201520.259000104
0368,ELVIA AS,NO 1,2964.83224997995
0369,ELVIA AS,NO 1,599917.007800236
0370,ELVIA AS,NO 1,347644.934299957
0371,ELVIA AS,NO 1,533268.671900051
0372,ELVIA AS,NO 1,1094827.91874984
0373,ELVIA AS,NO 1,766355.114300151
0374,ELVIA AS,NO 1,687619.420050073
0375,ELVIA AS,NO 1,609946.325600138
0376,ELVIA AS,NO 1,887326.916000011
0377,ELVIA AS,NO 1,674547.864199668
0378,ELVIA AS,NO 1,1044316.03114992
0379,ELVIA AS,NO 1,636566.69565003
0380,ELVIA AS,NO 1,422543.588750017
0381,ELVIA AS,NO 1,258484.678250194
0382,ELVIA AS,NO 1,588018.205299995
0382,ELVIA AS,NO 1,74878.7963500251
0383,ELVIA AS,NO 1,554316.990400193
0445,ELVIA AS,NO 1,21365.1087500223
0450,ELVIA AS,NO 1,374212.722450081
0451,ELVIA AS,NO 1,118588.486599991
0452,ELVIA AS,NO 1,35540.4132500365
0454,ELVIA AS,NO 1,201013.645800024
0455,ELVIA AS,NO 1,129970.59219995
0456,ELVIA AS,NO 1,161498.33920007
0456,ELVIA AS,NO 1,13371.2840999292
0457,ELVIA AS,NO 1,69083.5971999985
0458,ELVIA AS,NO 1,80161.896600002
0459,ELVIA AS,NO 1,39751.723200025
0460,ELVIA AS,NO 1,66119.0358500034
0461,ELVIA AS,NO 1,122294.278550026
0461,ELVIA AS,NO 1,4945.85380001553
0461,ELVIA AS,NO 1,4551.19064999686
0462,ELVIA AS,NO 1,358075.738050073
0463,ELVIA AS,NO 1,48646.5460500345
0463,ELVIA AS,NO 1,30062.1280499455
0464,ELVIA AS,NO 1,62897.849050004
0465,ELVIA AS,NO 1,19929.6708000122
0467,ELVIA AS,NO 1,213698.317350058
0468,ELVIA AS,NO 1,163323.287849863
0469,ELVIA AS,NO 1,101863.70429997
0470,ELVIA AS,NO 1,111471.071850019
0472,ELVIA AS,NO 1,32589.9495499637
0473,ELVIA AS,NO 1,146478.503450063
0474,ELVIA AS,NO 1,104691.633550016
0475,ELVIA AS,NO 1,210539.232349871
0476,ELVIA AS,NO 1,95823.5325000615
0477,ELVIA AS,NO 1,137529.723900009
0477,ELVIA AS,NO 1,6285.83930002526
0478,ELVIA AS,NO 1,127418.139150111
0479,ELVIA AS,NO 1,136855.851449978
0480,ELVIA AS,NO 1,73467.9330499219
0481,ELVIA AS,NO 1,240518.507100044
0482,ELVIA AS,NO 1,82961.6693498951
0483,ELVIA AS,NO 1,69129.0688499455
0483,ELVIA AS,NO 1,21114.6916500349
0484,ELVIA AS,NO 1,580592.339000142
0485,ELVIA AS,NO 1,320812.379649992
0486,ELVIA AS,NO 1,141563.349699975
0487,ELVIA AS,NO 1,525276.71950001
0488,ELVIA AS,NO 1,530751.706549883
0489,ELVIA AS,NO 1,419919.876550132
0490,ELVIA AS,NO 1,1750017.78949995
0491,ELVIA AS,NO 1,637936.206599824
0492,ELVIA AS,NO 1,155927.384650038
0493,ELVIA AS,NO 1,584934.893299907
0494,ELVIA AS,NO 1,342139.683550019
0495,ELVIA AS,NO 1,547449.743600018
0496,ELVIA AS,NO 1,10869682.6922496
0550,ELVIA AS,NO 1,42979.7722500013
0551,ELVIA AS,NO 1,133055.651200021
0551,ELVIA AS,NO 1,5858.8719000034
0552,ELVIA AS,NO 1,107655.227299922
0553,ELVIA AS,NO 1,80545.8842499421
0553,ELVIA AS,NO 1,19977.4196000232
0553,ELVIA AS,NO 1,2375.24135000166
0554,ELVIA AS,NO 1,48340.9427999966
0554,ELVIA AS,NO 1,18597.1797000282
0554,ELVIA AS,NO 1,10838.5344999954
0555,ELVIA AS,NO 1,66509.9363499796
0555,ELVIA AS,NO 1,20383.033750033
0555,ELVIA AS,NO 1,5033.83830001764
0556,ELVIA AS,NO 1,78865.0587500637
0557,ELVIA AS,NO 1,59134.2274000002
0557,ELVIA AS,NO 1,20468.0414000209
0558,ELVIA AS,NO 1,129966.872350018
0559,ELVIA AS,NO 1,29930.2981500919
0559,ELVIA AS,NO 1,3805.15930000227
0560,ELVIA AS,NO 1,34764.5768500194
0560,ELVIA AS,NO 1,22038.6483499696
0560,ELVIA AS,NO 1,4353.94584998628
0561,ELVIA AS,NO 1,84429.9570999788
0562,ELVIA AS,NO 1,220606.263050075
0563,ELVIA AS,NO 1,220460.975750127
0564,ELVIA AS,NO 1,48685.451600017
0565,ELVIA AS,NO 1,77619.3499999987
0565,ELVIA AS,NO 1,4677.68260001368
0566,ELVIA AS,NO 1,163694.729449907
0566,ELVIA AS,NO 1,3350.22770001646
0566,ELVIA AS,NO 1,2679.29480001261
0567,ELVIA AS,NO 1,62019.9332999531
0568,ELVIA AS,NO 1,74733.9895999809
0569,ELVIA AS,NO 1,140222.75345004
0570,ELVIA AS,NO 1,99792.072999944
0571,ELVIA AS,NO 1,169590.758700096
0572,ELVIA AS,NO 1,115495.381199956
0573,ELVIA AS,NO 1,40016.138449993
0574,ELVIA AS,NO 1,63247.2574999784
0575,ELVIA AS,NO 1,419369.006849915
0576,ELVIA AS,NO 1,304588.337699878
0577,ELVIA AS,NO 1,86046.0347000472
0577,ELVIA AS,NO 1,6729.77660003584
0578,ELVIA AS,NO 1,66287.1155998507
0579,ELVIA AS,NO 1,434198.622699862
0580,ELVIA AS,NO 1,774678.216949854
0581,ELVIA AS,NO 1,1107368.0071501
0581,ELVIA AS,NO 1,58225.1429500952
0582,ELVIA AS,NO 1,682218.326999959
0583,ELVIA AS,NO 1,367259.746599866
0584,ELVIA AS,NO 1,342698.337599909
0585,ELVIA AS,NO 1,569950.217549902
0586,ELVIA AS,NO 1,663231.739950135
0587,ELVIA AS,NO 1,435056.012800073
0588,ELVIA AS,NO 1,443455.105299991
0589,ELVIA AS,NO 1,389191.04210023
0590,ELVIA AS,NO 1,1747416.16479972
0591,ELVIA AS,NO 1,383559.131050039
0592,ELVIA AS,NO 1,170390.800399957
0593,ELVIA AS,NO 1,2238723.94275013
0594,ELVIA AS,NO 1,330844.961850012
0595,ELVIA AS,NO 1,169721.178499945
0596,ELVIA AS,NO 1,495429.695299931
0597,ELVIA AS,NO 1,213357.890550047
0598,ELVIA AS,NO 1,463788.538350015
0650,ELVIA AS,NO 1,100523.971149884
0651,ELVIA AS,NO 1,44384.646800044
0652,ELVIA AS,NO 1,48462.8289499921
0652,ELVIA AS,NO 1,22008.0270500048
0653,ELVIA AS,NO 1,69784.6819999367
0654,ELVIA AS,NO 1,130161.364600003
0655,ELVIA AS,NO 1,336580.439000197
0656,ELVIA AS,NO 1,172159.184150022
0657,ELVIA AS,NO 1,341908.772999931
0658,ELVIA AS,NO 1,258662.881300138
0659,ELVIA AS,NO 1,200152.51215011
0660,ELVIA AS,NO 1,262854.768799819
0661,ELVIA AS,NO 1,460483.235350026
0661,ELVIA AS,NO 1,279528.411599997
0662,ELVIA AS,NO 1,343740.441900134
0663,ELVIA AS,NO 1,447567.274350111
0664,ELVIA AS,NO 1,376074.932300088
0665,ELVIA AS,NO 1,449135.864199991
0666,ELVIA AS,NO 1,466700.285600045
0667,ELVIA AS,NO 1,1250999.99479989
0667,ELVIA AS,NO 1,283384.784999905
0668,ELVIA AS,NO 1,2072360.91090008
0669,ELVIA AS,NO 1,493336.15959993
0670,ELVIA AS,NO 1,163329.851849917
0671,ELVIA AS,NO 1,884487.339600066
0672,ELVIA AS,NO 1,1996561.86904995
0673,ELVIA AS,NO 1,655716.67494986
0674,ELVIA AS,NO 1,912972.133600366
0675,ELVIA AS,NO 1,397365.474150099
0676,ELVIA AS,NO 1,772243.943249885
0677,ELVIA AS,NO 1,169714.647300054
0678,ELVIA AS,NO 1,654640.353849925
0679,ELVIA AS,NO 1,291261.43745003
0680,ELVIA AS,NO 1,759605.818899941
0681,ELVIA AS,NO 1,1025607.06109999
0682,ELVIA AS,NO 1,787057.76690007
0683,ELVIA AS,NO 1,186419.253199949
0683,ELVIA AS,NO 1,32462.1929000248
0684,ELVIA AS,NO 1,121883.042249927
0684,ELVIA AS,NO 1,86481.4400500641
0685,ELVIA AS,NO 1,279759.838999875
0686,ELVIA AS,NO 1,643262.834299862
0687,ELVIA AS,NO 1,2965316.51660041
0688,ELVIA AS,NO 1,271184.847649984
0689,ELVIA AS,NO 1,4909399.00669978
0690,ELVIA AS,NO 1,605854.419249944
0691,ELVIA AS,NO 1,357596.681050084
0692,ELVIA AS,NO 1,344603.595949978
0693,ELVIA AS,NO 1,3644240.21835063
0694,ELVIA AS,NO 1,1049217.60084996
0750,ELVIA AS,NO 1,142926.220749989
