area,price,from,to
NO1,1.6136,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO1,2.5494,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO1,2.7092,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO1,2.817,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO1,2.8304,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO1,2.3094,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO1,2.2516,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO1,2.3306,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO1,1.1833,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO1,2.3262,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO1,1.7377,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO1,2.4644,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO1,1.0308,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
NO1,1.1022,2022-09-20T11:00:00Z,2022-09-20T12:00:00Z
NO1,1.6591,2022-09-20T12:00:00Z,2022-09-20T13:00:00Z
NO1,2.6093,2022-09-20T13:00:00Z,2022-09-20T14:00:00Z
NO1,2.2274,2022-09-20T14:00:00Z,2022-09-20T15:00:00Z
NO1,1.0463,2022-09-20T15:00:00Z,2022-09-20T16:00:00Z
NO1,1.637,2022-09-20T16:00:00Z,2022-09-20T17:00:00Z
NO1,1.6959,2022-09-20T17:00:00Z,2022-09-20T18:00:00Z
NO1,2.9487,2022-09-20T18:00:00Z,2022-09-20T19:00:00Z
NO1,1.9301,2022-09-20T19:00:00Z,2022-09-20T20:00:00Z
NO1,1.6952,2022-09-20T20:00:00Z,2022-09-20T21:00:00Z
NO1,2.8014,2022-09-20T21:00:00Z,2022-09-20T22:00:00Z
NO2,1.88,2022-09-19T22:00:00Z,2022-09-19T23:00:00Z
NO2,2.1147,2022-09-19T23:00:00Z,2022-09-20T00:00:00Z
NO2,1.5232,2022-09-20T00:00:00Z,2022-09-20T01:00:00Z
NO2,2.0286,2022-09-20T01:00:00Z,2022-09-20T02:00:00Z
NO2,2.0576,2022-09-20T02:00:00Z,2022-09-20T03:00:00Z
NO2,1.0683,2022-09-20T03:00:00Z,2022-09-20T04:00:00Z
NO2,2.3283,2022-09-20T04:00:00Z,2022-09-20T05:00:00Z
NO2,1.4734,2022-09-20T05:00:00Z,2022-09-20T06:00:00Z
NO2,2.6572,2022-09-20T06:00:00Z,2022-09-20T07:00:00Z
NO2,2.3327,2022-09-20T07:00:00Z,2022-09-20T08:00:00Z
NO2,1.0138,2022-09-20T08:00:00Z,2022-09-20T09:00:00Z
NO2,2.0752,2022-09-20T09:00:00Z,2022-09-20T10:00:00Z
NO2,1.4838,2022-09-20T10:00:00Z,2022-09-20T11:00:00Z
