area,price,from,to
NO1,1.7448,2022-08-31T22:00:00Z,2022-08-31T23:00:00Z
NO1,1.7423,2022-08-31T23:00:00Z,2022-09-01T00:00:00Z
NO1,2.5392,2022-09-01T00:00:00Z,2022-09-01T01:00:00Z
NO1,2.8204,2022-09-01T01:00:00Z,2022-09-01T02:00:00Z
NO1,2.3465,2022-09-01T02:00:00Z,2022-09-01T03:00:00Z
NO1,2.7409,2022-09-01T03:00:00Z,2022-09-01T04:00:00Z
NO1,1.3672,2022-09-01T04:00:00Z,2022-09-01T05:00:00Z
NO1,2.5772,2022-09-01T05:00:00Z,2022-09-01T06:00:00Z
NO1,2.7941,2022-09-01T06:00:00Z,2022-09-01T07:00:00Z
NO1,1.0428,2022-09-01T07:00:00Z,2022-09-01T08:00:00Z
NO1,2.3572,2022-09-01T08:00:00Z,2022-09-01T09:00:00Z
NO1,2.8764,2022-09-01T09:00:00Z,2022-09-01T10:00:00Z
NO1,1.1254,2022-09-01T10:00:00Z,2022-09-01T11:00:00Z
NO1,2.5469,2022-09-01T11:00:00Z,2022-09-01T12:00:00Z
NO1,2.0641,2022-09-01T12:00:00Z,2022-09-01T13:00:00Z
NO1,2.4587,2022-09-01T13:00:00Z,2022-09-01T14:00:00Z
NO1,2.5409,2022-09-01T14:00:00Z,2022-09-01T15:00:00Z
NO1,2.0193,2022-09-01T15:00:00Z,2022-09-01T16:00:00Z
NO1,1.0371,2022-09-01T16:00:00Z,2022-09-01T17:00:00Z
NO1,1.4118,2022-09-01T17:00:00Z,2022-09-01T18:00:00Z
NO1,2.2837,2022-09-01T18:00:00Z,2022-09-01T19:00:00Z
NO1,2.6095,2022-09-01T19:00:00Z,2022-09-01T20:00:00Z
NO1,2.2045,2022-09-01T20:00:00Z,2022-09-01T21:00:00Z
NO1,1.209,2022-09-01T21:00:00Z,2022-09-01T22:00:00Z
NO2,1.9523,2022-08-31T22:00:00Z,2022-08-31T23:00:00Z
NO2,2.6736,2022-08-31T23:00:00Z,2022-09-01T00:00:00Z
NO2,1.2049,2022-09-01T00:00:00Z,2022-09-01T01:00:00Z
NO2,1.3346,2022-09-01T01:00:00Z,2022-09-01T02:00:00Z
NO2,2.4056,2022-09-01T02:00:00Z,2022-09-01T03:00:00Z
NO2,2.9892,2022-09-01T03:00:00Z,2022-09-01T04:00:00Z
NO2,2.6401,2022-09-01T04:00:00Z,2022-09-01T05:00:00Z
NO2,1.8973,2022-09-01T05:00:00Z,2022-09-01T06:00:00Z
NO2,2.1773,2022-09-01T06:00:00Z,2022-09-01T07:00:00Z
NO2,2.8075,2022-09-01T07:00:00Z,2022-09-01T08:00:00Z
NO2,2.3221,2022-09-01T08:00:00Z,2022-09-01T09:00:00Z
NO2,1.8644,2022-09-01T09:00:00Z,2022-09-01T10:00:00Z
NO2,2.6161,2022-09-01T10:00:00Z,2022-09-01T11:00:00Z
NO2,2.2007,2022-09-01T11:00:00Z,2022-09-01T12:00:00Z
NO2,1.853,2022-09-01T12:00:00Z,2022-09-01T13:00:00Z
NO2,2.2816,2022-09-01T13:00:00Z,2022-09-01T14:00:00Z
NO2,2.2204,2022-09-01T14:00:00Z,2022-09-01T15:00:00Z
NO2,1.0258,2022-09-01T15:00:00Z,2022-09-01T16:00:00Z
NO2,1.9534,2022-09-01T16:00:00Z,2022-09-01T17:00:00Z
NO2,2.8133,2022-09-01T17:00:00Z,2022-09-01T18:00:00Z
NO2,1.5328,2022-09-01T18:00:00Z,2022-09-01T19:00:00Z
NO2,2.903,2022-09-01T19:00:00Z,2022-09-01T20:00:00Z
NO2,1.8509,2022-09-01T20:00:00Z,2022-09-01T21:00:00Z
NO2,1.1875,2022-09-01T21:00:00Z,2022-09-01T22:00:00Z
NO1,1.0938,2022-09-01T22:00:00Z,2022-09-01T23:00:00Z
NO1,2.4007,2022-09-01T23:00:00Z,2022-09-02T00:00:00Z
NO1,2.0994,2022-09-02T00:00:00Z,2022-09-02T01:00:00Z
NO1,2.0644,2022-09-02T01:00:00Z,2022-09-02T02:00:00Z
NO1,2.3174,2022-09-02T02:00:00Z,2022-09-02T03:00:00Z
NO1,2.3319,2022-09-02T03:00:00Z,2022-09-02T04:00:00Z
NO1,1.3445,2022-09-02T04:00:00Z,2022-09-02T05:00:00Z
NO1,1.9997,2022-09-02T05:00:00Z,2022-09-02T06:00:00Z
NO1,2.4565,2022-09-02T06:00:00Z,2022-09-02T07:00:00Z
NO1,2.3644,2022-09-02T07:00:00Z,2022-09-02T08:00:00Z
NO1,1.7755,2022-09-02T08:00:00Z,2022-09-02T09:00:00Z
NO1,1.5246,2022-09-02T09:00:00Z,2022-09-02T10:00:00Z
NO1,1.3998,2022-09-02T10:00:00Z,2022-09-02T11:00:00Z
NO1,2.1794,2022-09-02T11:00:00Z,2022-09-02T12:00:00Z
NO1,1.0706,2022-09-02T12:00:00Z,2022-09-02T13:00:00Z
NO1,1.3036,2022-09-02T13:00:00Z,2022-09-02T14:00:00Z
NO1,1.6618,2022-09-02T14:00:00Z,2022-09-02T15:00:00Z
NO1,2.7681,2022-09-02T15:00:00Z,2022-09-02T16:00:00Z
NO1,2.0968,2022-09-02T16:00:00Z,2022-09-02T17:00:00Z
NO1,2.9254,2022-09-02T17:00:00Z,2022-09-02T18:00:00Z
NO1,2.2064,2022-09-02T18:00:00Z,2022-09-02T19:00:00Z
NO1,1.7075,2022-09-02T19:00:00Z,2022-09-02T20:00:00Z
NO1,1.1204,2022-09-02T20:00:00Z,2022-09-02T21:00:00Z
