area,start_hour,date,price
NO1,0,2022-09-23,3.5211
NO1,1,2022-09-23,3.1983
NO1,2,2022-09-23,3.1218
NO1,3,2022-09-23,3.0011
NO1,4,2022-09-23,3.106
NO1,5,2022-09-23,3.5585
NO1,6,2022-09-23,3.7061
NO1,7,2022-09-23,3.9699
NO1,8,2022-09-23,4.1192
NO1,9,2022-09-23,3.8528
NO1,10,2022-09-23,3.7249
NO1,11,2022-09-23,3.6026
NO1,12,2022-09-23,3.5182
NO1,13,2022-09-23,3.3954
NO1,14,2022-09-23,3.4489
NO1,15,2022-09-23,3.511
NO1,16,2022-09-23,3.7091
NO1,17,2022-09-23,3.7494
NO1,18,2022-09-23,3.8772
NO1,19,2022-09-23,3.9696
NO1,20,2022-09-23,3.9696
NO1,21,2022-09-23,3.8099
NO1,22,2022-09-23,3.7769
NO1,23,2022-09-23,3.6116
NO2,0,2022-09-23,3.5211
NO2,1,2022-09-23,3.1983
NO2,2,2022-09-23,3.1218
NO2,3,2022-09-23,3.0011
NO2,4,2022-09-23,3.106
NO2,5,2022-09-23,3.5585
NO2,6,2022-09-23,3.7061
NO2,7,2022-09-23,3.9699
NO2,8,2022-09-23,4.1192
NO2,9,2022-09-23,3.8528
NO2,10,2022-09-23,3.7249
NO2,11,2022-09-23,3.6026
NO2,12,2022-09-23,3.5182
NO2,13,2022-09-23,3.3954
NO2,14,2022-09-23,3.4489
NO2,15,2022-09-23,3.511
NO2,16,2022-09-23,3.7091
NO2,17,2022-09-23,3.7494
NO2,18,2022-09-23,3.8772
NO2,19,2022-09-23,3.9696
NO2,20,2022-09-23,3.9696
NO2,21,2022-09-23,3.8099
NO2,22,2022-09-23,3.7769
NO2,23,2022-09-23,3.6116
NO1,0,2022-09-24,3.6266
NO1,1,2022-09-24,3.5347
NO1,2,2022-09-24,3.1158
NO1,3,2022-09-24,3.0533
NO1,4,2022-09-24,3.044
NO1,5,2022-09-24,3.1248
NO1,6,2022-09-24,3.5026
NO1,7,2022-09-24,3.6081
