area,start_hour,date,price
NO2,0,2022-01-01,1.65955
NO2,1,2022-01-01,1.6147125
NO2,2,2022-01-01,1.6494375
NO2,3,2022-01-01,1.391675
NO2,4,2022-01-01,1.4030375
NO2,5,2022-01-01,1.4224
NO2,6,2022-01-01,1.526675
NO2,7,2022-01-01,1.4808375
NO2,8,2022-01-01,1.4794625
NO2,9,2022-01-01,1.47185
NO2,10,2022-01-01,1.49895
NO2,11,2022-01-01,1.4619875
NO2,12,2022-01-01,1.4632375
NO2,13,2022-01-01,1.499575
NO2,14,2022-01-01,1.555275
NO2,15,2022-01-01,1.5596375
NO2,16,2022-01-01,1.6932625
NO2,17,2022-01-01,1.87285
NO2,18,2022-01-01,1.8820875
NO2,19,2022-01-01,1.7959125
NO2,20,2022-01-01,1.7528375
NO2,21,2022-01-01,1.7464625
NO2,22,2022-01-01,1.6869
NO2,23,2022-01-01,1.5412875
NO2,0,2022-01-02,1.4189375
NO2,1,2022-01-02,1.3951875
NO2,2,2022-01-02,1.3310875
NO2,3,2022-01-02,1.305725
NO2,4,2022-01-02,1.300225
NO2,5,2022-01-02,1.322725
NO2,6,2022-01-02,1.3990625
NO2,7,2022-01-02,1.314725
NO2,8,2022-01-02,1.3935625
NO2,9,2022-01-02,1.44705
NO2,10,2022-01-02,1.5236375
NO2,11,2022-01-02,1.5156375
NO2,12,2022-01-02,1.4048125
NO2,13,2022-01-02,1.3918125
NO2,14,2022-01-02,1.3929375
NO2,15,2022-01-02,1.4767875
NO2,16,2022-01-02,1.5281375
NO2,17,2022-01-02,1.621725
NO2,18,2022-01-02,1.69895
NO2,19,2022-01-02,1.6034875
NO2,20,2022-01-02,1.4534125
NO2,21,2022-01-02,1.37695
NO2,22,2022-01-02,1.3096
NO2,23,2022-01-02,1.37645
NO2,0,2022-01-03,1.56175
NO2,1,2022-01-03,1.5420125
NO2,2,2022-01-03,1.5335125
NO2,3,2022-01-03,1.5187625
NO2,4,2022-01-03,1.5270125
NO2,5,2022-01-03,1.5440125
NO2,6,2022-01-03,1.5079
NO2,7,2022-01-03,1.5119
NO2,8,2022-01-03,1.5818625
NO2,9,2022-01-03,1.6563375
NO2,10,2022-01-03,1.5365125
NO2,11,2022-01-03,1.5385125
NO2,12,2022-01-03,1.549
NO2,13,2022-01-03,1.5827375
NO2,14,2022-01-03,1.6712125
NO2,15,2022-01-03,1.7208125
NO2,16,2022-01-03,1.7178125
NO2,17,2022-01-03,1.7959125
NO2,18,2022-01-03,1.8134
NO2,19,2022-01-03,1.7844125
NO2,20,2022-01-03,1.7770375
NO2,21,2022-01-03,1.7443
NO2,22,2022-01-03,1.634225
NO2,23,2022-01-03,1.4199375
NO2,0,2022-01-04,1.6476125
NO2,1,2022-01-04,1.6496125
NO2,2,2022-01-04,1.6082
NO2,3,2022-01-04,1.4447125
NO2,4,2022-01-04,1.4183125
NO2,5,2022-01-04,1.6645
NO2,6,2022-01-04,1.79435
NO2,7,2022-01-04,1.938075
NO2,8,2022-01-04,2.100075
NO2,9,2022-01-04,2.0846875
NO2,10,2022-01-04,2.0926875
NO2,11,2022-01-04,2.0592875
NO2,12,2022-01-04,2.00125
NO2,13,2022-01-04,1.9475875
NO2,14,2022-01-04,1.94095
NO2,15,2022-01-04,1.9821125
NO2,16,2022-01-04,2.0183875
NO2,17,2022-01-04,2.098575
NO2,18,2022-01-04,2.0572875
NO2,19,2022-01-04,1.9249375
NO2,20,2022-01-04,1.8365
NO2,21,2022-01-04,1.77095
NO2,22,2022-01-04,1.7165375
NO2,23,2022-01-04,1.4292
NO2,0,2022-01-05,1.6663625
NO2,1,2022-01-05,1.5442125
NO2,2,2022-01-05,1.3974
NO2,3,2022-01-05,1.2937625
NO2,4,2022-01-05,1.324925
NO2,5,2022-01-05,1.5229375
NO2,6,2022-01-05,1.731325
NO2,7,2022-01-05,1.736575
NO2,8,2022-01-05,1.737075
NO2,9,2022-01-05,1.7415875
NO2,10,2022-01-05,1.7407125
NO2,11,2022-01-05,1.7280625
NO2,12,2022-01-05,1.7138
NO2,13,2022-01-05,1.71305
