area,date,price
NO2,2021-11-01,680.94
NO2,2021-11-02,876.5
NO2,2021-11-03,952.47
NO2,2021-11-04,1045.12
NO2,2021-11-05,878.13
NO2,2021-11-06,775.98
NO2,2021-11-07,688.95
NO2,2021-11-08,1217.93
NO2,2021-11-09,828.81
NO2,2021-11-10,875.59
NO2,2021-11-11,889.95
NO2,2021-11-12,920.65
NO2,2021-11-13,912.49
NO2,2021-11-14,969.75
NO2,2021-11-15,967.75
NO2,2021-11-16,958.26
NO2,2021-11-17,893.14
NO2,2021-11-18,890.93
NO2,2021-11-19,830.94
NO2,2021-11-20,893.89
NO2,2021-11-21,932.44
NO2,2021-11-22,1237.17
NO2,2021-11-23,1105.76
NO2,2021-11-24,1093.82
NO2,2021-11-25,1122.16
NO2,2021-11-26,1170.43
NO2,2021-11-27,1479.3
NO2,2021-11-28,1877.58
NO2,2021-11-29,2558.66
NO2,2021-11-30,1374.29
NO2,2021-12-01,1198.52
NO2,2021-12-02,1890.01
NO2,2021-12-03,1514.04
NO2,2021-12-04,1368.07
NO2,2021-12-05,1320.89
NO2,2021-12-06,1716.68
NO2,2021-12-07,1762.14
NO2,2021-12-08,1329.72
NO2,2021-12-09,1327.5
NO2,2021-12-10,1511.6
NO2,2021-12-11,1622.6
NO2,2021-12-12,1344.41
NO2,2021-12-13,1372.51
NO2,2021-12-14,2081.75
NO2,2021-12-15,1308.68
NO2,2021-12-16,1561.46
NO2,2021-12-17,1819.27
NO2,2021-12-18,1590.06
NO2,2021-12-19,1501.94
NO2,2021-12-20,3125.42
NO2,2021-12-21,3954.12
NO2,2021-12-22,2617.39
NO2,2021-12-23,2460.61
NO2,2021-12-24,2003.89
NO2,2021-12-25,2015.82
NO2,2021-12-26,1878.81
NO2,2021-12-27,1804.95
NO2,2021-12-28,1474.59
NO2,2021-12-29,1669.85
NO2,2021-12-30,1391.29
NO2,2021-12-31,1355.8
NO2,2022-01-01,1270.33
NO2,2022-01-02,1143.42
NO2,2022-01-03,1292.36
NO2,2022-01-04,1474.21
NO2,2022-01-05,1335.62
NO2,2022-01-06,1858.67
NO2,2022-01-07,1593.72
NO2,2022-01-08,1457.76
NO2,2022-01-09,1427.34
NO2,2022-01-10,1939.69
NO2,2022-01-11,1515.36
NO2,2022-01-12,1385.6
NO2,2022-01-13,1264.04
NO2,2022-01-14,1289.19
NO2,2022-01-15,1551.41
NO2,2022-01-16,1277.2
NO2,2022-01-17,1323.24
NO2,2022-01-18,1609.47
NO2,2022-01-19,1353.45
NO2,2022-01-20,1295.95
NO2,2022-01-21,1373.08
NO2,2022-01-22,1392.41
NO2,2022-01-23,1374.39
NO2,2022-01-24,1354.77
NO2,2022-01-25,1569.99
NO2,2022-01-26,1326.19
NO2,2022-01-27,1268.28
NO2,2022-01-28,1360.43
NO2,2022-01-29,1080.06
NO2,2022-01-30,1207.3
NO2,2022-01-31,1629.77
NO2,2022-02-01,1441.03
NO2,2022-02-02,1347.62
NO2,2022-02-03,1466.28
NO2,2022-02-04,1230.29
NO2,2022-02-05,1161.47
NO2,2022-02-06,1121.65
NO2,2022-02-07,1224.93
NO2,2022-02-08,1239.18
NO2,2022-02-09,1215.64
NO2,2022-02-10,1248.83
NO2,2022-02-11,1290.09
NO2,2022-02-12,1128.57
NO2,2022-02-13,1034.67
NO2,2022-02-14,1093.35
NO2,2022-02-15,1139.12
NO2,2022-02-16,1109.35
NO2,2022-02-17,1030.7
NO2,2022-02-18,1112.15
NO2,2022-02-19,1031.69
NO2,2022-02-20,1015.84
NO2,2022-02-21,1080.34
NO2,2022-02-22,1234.9
NO2,2022-02-23,1108.7
NO2,2022-02-24,1165.44
NO2,2022-02-25,1262.24
NO2,2022-02-26,1407.89
NO2,2022-02-27,1379.66
NO2,2022-02-28,1429.06
NO2,2022-03-01,1473.32
NO2,2022-03-02,1491.14
NO2,2022-03-03,1588.54
NO2,2022-03-04,2001.57
NO2,2022-03-05,1827.24
NO2,2022-03-06,1871.19
NO2,2022-03-07,2334.99
NO2,2022-03-08,2577.98
NO2,2022-03-09,2212.13
NO2,2022-03-10,2089.09
NO2,2022-03-11,1898.89
NO2,2022-03-12,1771.35
NO2,2022-03-13,1626.08
NO2,2022-03-14,1968.06
NO2,2022-03-15,2124.65
NO2,2022-03-16,1921.33
NO2,2022-03-17,1720.68
NO2,2022-03-18,1797.3
NO2,2022-03-19,1635.41
NO2,2022-03-20,1585.95
NO2,2022-03-21,1712.6
NO2,2022-03-22,1892.6
NO2,2022-03-23,1956.64
NO2,2022-03-24,1843.8
NO2,2022-03-25,1778.73
NO2,2022-03-26,1735.39
NO2,2022-03-27,1755.1
NO2,2022-03-28,1768.73
NO2,2022-03-29,1924.46
NO2,2022-03-30,2070.31
NO2,2022-03-31,2021.17
NO2,2022-04-01,1812.91
NO2,2022-04-02,1800.67
NO2,2022-04-03,1774.77
NO2,2022-04-04,1669.2
NO2,2022-04-05,1741.85
NO2,2022-04-06,1663.25
NO2,2022-04-07,1625.53
NO2,2022-04-08,1634
NO2,2022-04-09,1581.43
NO2,2022-04-10,1599.33
NO2,2022-04-11,1812.25
NO2,2022-04-12,1751.28
NO2,2022-04-13,1770.81
NO2,2022-04-14,1851.3
NO2,2022-04-15,1809.71
NO2,2022-04-16,1633.49
NO2,2022-04-17,1412.44
NO2,2022-04-18,1325.8
NO2,2022-04-19,1895.57
NO2,2022-04-20,1813.03
NO2,2022-04-21,1785.38
NO2,2022-04-22,1667.83
NO2,2022-04-23,1517.79
NO2,2022-04-24,1231.87
NO2,2022-04-25,1971.84
NO2,2022-04-26,1913.32
NO2,2022-04-27,1995
NO2,2022-04-28,2039.42
NO2,2022-04-29,2136.98
NO2,2022-04-30,1929.12
NO2,2022-05-01,1912.52
NO2,2022-05-02,2043.86
NO2,2022-05-03,2126.09
NO2,2022-05-04,2208.12
NO2,2022-05-05,2198.23
NO2,2022-05-06,2093.54
NO2,2022-05-07,1942.83
NO2,2022-05-08,1824.56
NO2,2022-05-09,2008.54
NO2,2022-05-10,1855.79
NO2,2022-05-11,1784.4
NO2,2022-05-12,1585.86
NO2,2022-05-13,1477.61
NO2,2022-05-14,1407.57
NO2,2022-05-15,1445.23
NO2,2022-05-16,1799.99
NO2,2022-05-17,1835.2
NO2,2022-05-18,1830.43
NO2,2022-05-19,1938.23
NO2,2022-05-20,1889.26
NO2,2022-05-21,1360.38
NO2,2022-05-22,1635.72
NO2,2022-05-23,1781.9
NO2,2022-05-24,1314.59
NO2,2022-05-25,1577.98
NO2,2022-05-26,542.23
NO2,2022-05-27,490.14
NO2,2022-05-28,346.96
NO2,2022-05-29,1439.97
NO2,2022-05-30,1774.72
NO2,2022-05-31,1777.24
NO2,2022-06-01,1813.51
NO2,2022-06-02,1648.46
NO2,2022-06-03,1633.27
NO2,2022-06-04,1557.86
NO2,2022-06-05,1424.87
NO2,2022-06-06,868.43
NO2,2022-06-07,1692.59
NO2,2022-06-08,1742.48
NO2,2022-06-09,1698.16
NO2,2022-06-10,1643.46
NO2,2022-06-11,1232.07
NO2,2022-06-12,1128.1
NO2,2022-06-13,1550.59
NO2,2022-06-14,1826.44
NO2,2022-06-15,1877.37
NO2,2022-06-16,1915.08
NO2,2022-06-17,2168.55
NO2,2022-06-18,1742.6
NO2,2022-06-19,1522.72
NO2,2022-06-20,2513.85
NO2,2022-06-21,2468.52
NO2,2022-06-22,2304.59
NO2,2022-06-23,2404.75
NO2,2022-06-24,2099.97
NO2,2022-06-25,2052.2
NO2,2022-06-26,1708.04
NO2,2022-06-27,2236.29
NO2,2022-06-28,2187.11
NO2,2022-06-29,2537.17
NO2,2022-06-30,2801.6
NO2,2022-07-01,2378.12
NO2,2022-07-02,2044.46
NO2,2022-07-03,1877.09
NO2,2022-07-04,2278.44
NO2,2022-07-05,2353.98
NO2,2022-07-06,2368.15
NO2,2022-07-07,1994.02
NO2,2022-07-08,2092.1
NO2,2022-07-09,1214.56
NO2,2022-07-10,1166.6
NO2,2022-07-11,3014.81
NO2,2022-07-12,3062.8
NO2,2022-07-13,2646.26
NO2,2022-07-14,2714.66
NO2,2022-07-15,2423.45
NO2,2022-07-16,1512.73
NO2,2022-07-17,2180.73
NO2,2022-07-18,3269.51
