;21.09.2022;20.09.2022;19.09.2022;18.09.2022;17.09.2022;16.09.2022;15.09.2022;14.09.2022;13.09.2022;12.09.2022;11.09.2022;10.09.2022;09.09.2022;08.09.2022;07.09.2022;06.09.2022;05.09.2022;04.09.2022;03.09.2022;02.09.2022;01.09.2022;31.08.2022;30.08.2022;29.08.2022;28.08.2022;27.08.2022;26.08.2022;25.08.2022;24.08.2022;23.08.2022;22.08.2022;21.08.2022;20.08.2022;19.08.2022;18.08.2022;17.08.2022;16.08.2022;15.08.2022;14.08.2022;13.08.2022;12.08.2022;11.08.2022;10.08.2022;09.08.2022;08.08.2022;07.08.2022;06.08.2022;05.08.2022;04.08.2022;03.08.2022;02.08.2022;01.08.2022;31.07.2022;30.07.2022;29.07.2022;28.07.2022
00 - 01;3464,88;2772,84;885,94;281,32;3916,60;1904,67;4067,44;3557,42;3491,80;3571,57;4345,61;3999,59;3100,40;4390,41;4217,63;2795,12;2757,47;2157,92;2382,12;4718,50;5015,63;5340,72;6474,99;5591,09;5608,92;6433,42;5659,93;5004,89;5496,50;5224,14;4814,22;4107,96;4897,88;4861,05;5034,53;4805,13;4452,72;3581,88;3967,85;4076,93;4008,50;2982,87;2996,70;3771,04;2993,89;2851,60;3430,43;3890,38;4268,74;2528,83;4223,70;3692,65;3678,50;4193,04;4263,25;4234,78
01 - 02;3175,45;2749,54;1025,42;285,41;3658,22;1707,78;3531,99;3195,85;3028,81;3657,89;3970,53;3697,56;2461,59;4050,56;3913,12;3054,71;2253,09;2101,44;2535,05;4332,41;4950,13;5258,66;6003,31;5148,77;4941,50;6036,55;5407,40;4879,98;5185,35;4794,21;4557,99;3630,01;4782,63;4456,54;4589,25;4617,99;4121,46;3448,69;3801,82;3823,87;3861,69;2887,71;2769,59;3072,28;2622,11;2333,15;3048,83;3431,62;3971,63;2534,38;3736,40;3299,56;3266,11;3874,77;3676,68;3878,13
02 - 03;3168,46;2911,20;973,70;234,00;2475,58;2281,69;3300,74;3297,06;2899,18;3652,90;3970,43;3617,94;2118,71;3976,55;3743,75;2823,11;2175,82;2053,01;2716,05;4090,50;4949,94;5418,39;5718,93;5016,73;4703,43;5967,21;5337,26;4793,69;5187,10;4815,73;4467,53;3577,50;4591,84;4289,45;4590,23;4505,81;4124,23;3444,47;3609,32;3701,32;3773,02;2983,66;2882,90;2891,02;2717,86;2239,88;2986,31;3234,77;3595,86;2534,28;3659,70;3249,18;2883,80;3881,40;3578,10;3861,00
03 - 04;3168,77;2780,33;917,79;286,54;2459,44;1819,77;3147,18;3255,61;3030,01;3600,44;3807,07;3576,73;1994,48;3794,06;3730,19;2896,74;2282,23;2095,18;2587,09;3752,43;4905,78;5005,95;5718,44;4968,59;4299,02;5520,34;5323,31;4522,20;5063,64;4754,59;4276,49;3296,50;4390,99;4137,30;4537,24;4382,60;3985,37;3342,86;3381,02;3569,82;3729,61;2948,08;2756,37;2796,71;2687,93;2113,59;2675,32;3249,40;3341,09;2516,03;3447,08;3076,98;2816,10;3793,77;3718,86;3858,51
04 - 05;3151,00;2755,18;1039,24;358,84;2451,27;1487,33;2835,72;3370,33;3110,28;3636,31;3696,96;3576,93;2349,41;3767,34;3949,72;2936,43;2450,98;2258,56;2435,07;4061,36;5010,07;5427,08;5816,49;5014,20;4274,96;5280,13;5306,29;4670,13;5081,73;4770,93;4296,45;3083,72;4320,07;4187,26;4581,74;4431,85;4044,33;3371,38;3343,45;3586,04;3838,42;3002,89;2837,38;2874,09;2634,73;2052,94;2591,13;3243,27;3310,42;2470,28;3378,09;3161,99;2607,09;3613,66;3587,88;3861,00
05 - 06;3685,60;3100,38;1842,95;323,51;1991,90;2206,28;3811,54;3638,70;3089,24;4011,49;3805,07;3666,13;2886,16;4391,00;4022,63;3930,72;3763,94;2285,71;3018,39;4486,63;5684,37;5594,81;6441,16;5744,96;4113,87;5370,26;5595,38;4946,72;5413,32;5026,15;4745,79;3093,95;4315,74;4475,52;4826,40;4566,39;4220,43;3472,70;3555,81;3652,57;3874,46;3483,24;2911,33;3088,32;3330,18;2101,66;2437,03;3559,26;3461,70;2386,84;3764,47;3651,68;2617,77;3680,03;3861,70;3984,23
06 - 07;4280,49;3684,22;3592,19;252,34;866,76;3693,61;3963,98;4138,01;3948,50;4545,34;3900,09;3926,25;3712,41;4598,23;4670,33;4620,37;4573,41;2161,60;2840,00;5333,74;5904,48;6293,54;6618,69;6333,35;4288,21;5454,68;5883,99;5355,93;5380,82;5437,29;5342,22;3487,05;4502,20;4739,29;5183,45;4568,45;4246,30;3635,29;3573,52;3625,25;4015,47;3749,87;3278,98;3695,45;3596,77;2099,28;2382,90;3782,71;3475,45;2391,60;3848,88;3916,71;2503,27;3898,51;4301,68;4158,87
07 - 08;5019,48;4211,61;4083,76;634,63;2507,14;4244,27;4301,72;4605,39;4442,20;4866,76;3961,63;4055,46;4190,86;4860,29;4983,95;5210,10;5036,81;2318,53;3821,93;5677,13;6435,09;6564,30;7279,53;6912,00;4434,97;5959,67;6395,40;5550,28;5558,09;5558,39;5715,55;3331,99;4534,01;4798,89;5340,17;4790,94;4570,65;4106,05;3538,60;3701,91;4123,20;3994,11;3784,89;3891,05;4046,71;2112,50;2995,50;4204,30;3459,52;2374,14;3944,76;4166,41;2549,78;4054,18;4396,80;4192,64
08 - 09;5134,52;4383,95;4151,76;788,14;2355,17;4184,74;4317,68;4789,28;4546,61;4898,14;4137,88;4226,38;4195,27;5044,67;5025,89;5401,41;5170,37;2150,17;4135,40;5846,71;6398,96;6866,69;7325,68;7102,22;4691,25;6396,29;6545,10;5796,73;5836,84;5666,29;5811,81;3349,39;4628,58;5166,71;5420,90;4953,55;4700,52;4377,93;3605,29;3808,24;4605,75;3985,09;3809,24;3637,98;3995,60;1661,66;2995,70;4246,12;3923,54;2804,17;3838,31;4313,37;2877,17;3955,48;4513,66;4216,94
09 - 10;4386,69;4228,23;3751,85;718,09;3909,66;4059,10;4332,23;4866,35;4451,67;4585,80;4146,38;4207,92;4045,46;4733,14;4946,95;4744,71;4762,55;1889,82;3935,14;5492,98;5952,61;6499,22;7035,73;6648,11;4264,53;6427,81;6715,38;5795,29;5861,07;5739,56;5663,05;3219,21;4581,69;5479,75;5867,76;5254,04;4532,52;4299,04;3443,58;3582,50;4293,57;3814,70;3431,25;3386,90;3705,25;1447,48;2817,43;4222,39;3978,85;2838,50;3359,11;4326,34;2924,77;3724,73;4551,20;4324,83
10 - 11;3796,22;3894,13;3478,62;2290,17;3964,81;4081,04;4118,35;4785,37;4345,68;4176,25;4005,90;4416,66;3765,39;4656,15;4649,16;4414,37;4292,58;2982,81;4421,39;5147,68;5770,11;6342,03;6569,32;6231,81;3300,38;6191,66;6459,19;5550,76;5544,18;5622,85;5570,43;2582,57;4433,54;5393,90;5835,20;5248,72;4448,67;4128,68;3143,77;3381,42;4084,11;3410,68;2917,29;3599,94;3277,38;1037,90;2454,11;4104,73;3460,01;2415,41;2870,53;3947,99;2661,12;3237,73;4436,02;4245,54
11 - 12;3409,01;3741,19;2489,76;3634,18;3896,38;4066,68;3885,69;4760,05;4420,46;3705,25;3918,67;4307,90;3415,99;4385,34;4455,65;3118,22;3858,21;2004,18;4536,61;4285,10;5345,98;6323,30;6335,29;5846,01;4872,02;5639,58;6927,12;5317,60;5438,90;5443,26;5406,91;1794,80;4230,14;5215,39;5524,13;5028,40;4331,24;3990,87;2629,83;2967,38;4028,14;3045,02;2922,36;2940,72;2958,69;1336,91;2083,89;3881,09;2734,00;1834,26;2926,17;3446,13;2612,13;2963,07;4297,23;4039,42
12 - 13;3162,61;3751,66;2302,76;853,27;3905,16;4111,86;3449,66;4608,69;3457,20;3622,62;3712,05;4118,52;3518,44;4261,76;4012,15;2613,04;4026,57;2485,99;4689,04;2927,83;5071,90;5579,39;5743,86;5518,69;4901,74;5415,61;6534,13;5027,81;5177,67;4930,38;5112,24;1918,29;4127,89;5020,27;5353,99;4858,61;4242,25;3846,38;2622,84;2600,71;3886,34;3051,96;2818,29;2847,00;2831,82;1924,87;1753,32;3735,05;2375,24;2072,30;2249,59;3459,78;2686,95;2729,56;3775,56;4014,61
13 - 14;3203,80;3751,35;2425,55;2441,12;2347,31;4094,48;3153,85;4503,68;3348,10;3394,72;3448,17;3655,46;3028,75;4070,53;3977,52;2735,19;3987,58;4047,55;4564,29;2712,53;5033,99;5327,65;5770,15;5553,96;4901,74;4879,29;6322,96;5000,75;5345,11;4924,51;5164,15;1622,44;3543,88;4662,48;5343,53;4781,68;4170,94;3745,26;2610,74;2651,13;3328,57;2754,79;2595,16;2655,88;2838,68;2208,26;1538,90;3163,78;2332,80;1831,58;2155,88;3265,41;2237,54;2416,82;3507,66;3962,01
14 - 15;3300,55;3730,61;2431,18;340,00;1874,45;4093,17;3096,77;4220,90;3406,74;3474,25;2843,18;3593,49;3043,30;3972,67;4049,64;2866,47;2914,19;4043,87;4598,18;2731,12;5235,63;5004,29;5588,91;5457,78;4871,73;4991,47;5999,24;4995,07;5332,66;5345,73;5329,73;1708,96;3498,18;4403,73;5206,64;4715,60;4171,24;3751,36;2596,68;2555,11;3388,47;2734,37;2605,00;2673,41;2845,14;2175,34;1305,20;2723,11;2309,74;2202,87;1900,18;2468,73;2131,94;2529,08;3494,23;4058,25
15 - 16;3595,22;3740,78;2276,55;358,94;1927,46;4081,14;2719,23;4404,08;3549,93;3549,38;3062,40;3638,89;3013,70;4020,86;4083,57;3869,20;4026,77;3644,31;4310,28;3213,85;5526,49;5232,51;5993,82;5882,46;4580,84;4607,94;6207,81;5217,44;5472,86;5429,36;5499,34;3245,07;3411,79;4404,02;5192,83;4852,50;4228,62;3734,63;2579,86;2869,60;3841,56;3007,45;2687,00;2594,33;2971,62;1803,66;1440,52;2410,58;2369,70;2647,50;1958,59;2227,05;2309,00;2977,61;3876,52;4162,55
16 - 17;3938,16;3796,82;2634,16;1633,01;370,83;4042,63;3027,27;4472,35;3725,33;4072,84;3762,90;3940,82;3771,91;4131,92;4668,75;4722,38;4019,71;2485,29;3871,66;3966,42;5756,12;5621,84;6454,46;6333,35;3722,23;5007,52;6390,88;5406,69;5737,31;5580,69;5601,00;3706,41;3447,84;4687,56;5342,84;5168,85;4380,33;3983,30;2650,97;3876,25;3993,77;3716,27;2989,35;2986,83;3184,81;1715,65;1864,87;2418,49;2974,22;3107,00;2195,13;2164,60;2574,52;3054,26;3904,67;4332,21
17 - 18;4177,58;4225,77;3699,01;863,82;703,15;2665,47;3648,58;4619,10;4146,14;4575,91;4260,08;4572,01;4037,73;4521,64;4994,93;4817,94;4843,40;4102,04;4146,83;4918,02;6151,77;6355,89;6793,68;6715,94;4800,40;5409,91;6565,20;5798,17;6128,92;5568,86;5834,13;4129,10;3842,34;4921,33;5328,33;5219,77;4607,98;4257,24;3625,55;3830,94;4100,81;3858,81;3437,22;3359,22;3954,84;2249,12;2418,55;2789,65;3001,82;2926,22;2300,99;3265,61;3143,78;3712,47;4409,55;4407,42
