Antall målepunkter;Volum (MWh);Prisomraade;Gruppe;Bruksdogn
7326;1225;NO1;Jordbruk, skogbruk og fiske;31.12.2022
7577;638;NO1;Uklassifisert;31.12.2022
284;126;NO1;Bergverksdrift og utvinning;31.12.2022
4673;10122;NO1;Industri;31.12.2022
1739;3105;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;31.12.2022
2346;1133;NO1;Vannforsyning, avløps- og renovasjonsvirksomhet;31.12.2022
12099;2020;NO1;Bygge- og anleggsvirksomhet;31.12.2022
109085;3355;NO1;Fritidsbolig;31.12.2022
1057705;50984;NO1;Husholdning;31.12.2022
112770;28603;NO1;Tjenesteyting;31.12.2022
6907;1506;NO2;Jordbruk, skogbruk og fiske;31.12.2022
11956;762;NO2;Uklassifisert;31.12.2022
531;6285;NO2;Bergverksdrift og utvinning;31.12.2022
4377;35737;NO2;Industri;31.12.2022
2220;9758;NO2;Elektrisitets-, gass-, damp- og varmtvannsforsyning;31.12.2022
1855;522;NO2;Vannforsyning, avløps- og renovasjonsvirksomhet;31.12.2022
10707;1042;NO2;Bygge- og anleggsvirksomhet;31.12.2022
102770;2198;NO2;Fritidsbolig;31.12.2022
607099;30891;NO2;Husholdning;31.12.2022
68300;17216;NO2;Tjenesteyting;31.12.2022
12364;2216;NO3;Jordbruk, skogbruk og fiske;31.12.2022
3850;304;NO3;Uklassifisert;31.12.2022
231;4623;NO3;Bergverksdrift og utvinning;31.12.2022
3325;34312;NO3;Industri;31.12.2022
1913;2432;NO3;Elektrisitets-, gass-, damp- og varmtvannsforsyning;31.12.2022
1355;191;NO3;Vannforsyning, avløps- og renovasjonsvirksomhet;31.12.2022
5171;753;NO3;Bygge- og anleggsvirksomhet;31.12.2022
62205;1528;NO3;Fritidsbolig;31.12.2022
391062;20951;NO3;Husholdning;31.12.2022
48952;11343;NO3;Tjenesteyting;31.12.2022
3795;1337;NO4;Jordbruk, skogbruk og fiske;31.12.2022
4305;265;NO4;Uklassifisert;31.12.2022
199;5031;NO4;Bergverksdrift og utvinning;31.12.2022
1790;15837;NO4;Industri;31.12.2022
1052;3732;NO4;Elektrisitets-, gass-, damp- og varmtvannsforsyning;31.12.2022
834;131;NO4;Vannforsyning, avløps- og renovasjonsvirksomhet;31.12.2022
3581;545;NO4;Bygge- og anleggsvirksomhet;31.12.2022
43859;1305;NO4;Fritidsbolig;31.12.2022
240925;17198;NO4;Husholdning;31.12.2022
34726;10679;NO4;Tjenesteyting;31.12.2022
1754;326;NO5;Jordbruk, skogbruk og fiske;31.12.2022
5309;261;NO5;Uklassifisert;31.12.2022
163;13620;NO5;Bergverksdrift og utvinning;31.12.2022
1228;10031;NO5;Industri;31.12.2022
971;1361;NO5;Elektrisitets-, gass-, damp- og varmtvannsforsyning;31.12.2022
850;149;NO5;Vannforsyning, avløps- og renovasjonsvirksomhet;31.12.2022
2765;371;NO5;Bygge- og anleggsvirksomhet;31.12.2022
45498;1534;NO5;Fritidsbolig;31.12.2022
254442;12622;NO5;Husholdning;31.12.2022
23022;6821;NO5;Tjenesteyting;31.12.2022
7326;1270;NO1;Jordbruk, skogbruk og fiske;30.12.2022
7578;652;NO1;Uklassifisert;30.12.2022
284;139;NO1;Bergverksdrift og utvinning;30.12.2022
4680;11435;NO1;Industri;30.12.2022
1740;3820;NO1;Elektrisitets-, gass-, damp- og varmtvannsforsyning;30.12.2022
