;sep.22;aug.22;jul.22;jun.22;mai.22;apr.22;mar.22;feb.22;jan.22;des.21;nov.21
1;347,51;20,78;21,47;605,96;202,40;770,16;136,33;198,47;417,90;1158,80;127,61
2;406,11;18,36;18,22;527,26;125,96;269,55;131,10;719,77;341,29;1508,68;118,50
3;562,55;17,12;16,02;122,00;167,46;491,68;181,81;248,49;354,88;1191,06;193,98
4;1686,24;16,32;23,25;81,29;264,48;594,47;168,48;138,59;441,36;723,52;246,11
5;1491,66;14,38;16,11;76,55;131,50;299,42;146,26;129,19;516,03;1196,80;161,64
6;942,50;14,58;17,57;107,16;109,33;331,91;137,25;127,29;527,25;1229,02;90,57
7;802,83;14,42;14,78;113,84;51,46;619,60;146,83;159,03;502,54;1173,53;116,76
8;840,48;22,27;11,27;79,47;138,56;208,26;165,07;140,99;454,79;739,01;210,51
9;913,21;16,30;16,41;97,55;148,24;239,58;148,97;126,88;426,96;418,91;129,94
10;1102,63;11,60;20,14;161,32;134,80;147,64;139,23;124,60;479,25;456,44;92,92
11;1830,65;12,10;32,97;126,25;119,34;240,42;145,64;123,07;304,29;501,55;102,56
12;2008,37;189,14;18,51;104,89;100,62;895,86;138,11;127,34;201,54;441,16;142,29
13;637,60;475,80;18,10;92,15;125,99;957,54;153,25;120,22;175,86;449,02;162,10
14;639,06;190,63;14,54;114,56;79,41;732,89;174,41;154,43;181,12;360,78;168,27
15;502,62;710,36;14,51;127,22;74,25;543,85;163,88;136,09;192,95;231,19;139,08
16;354,97;774,08;12,28;116,54;93,83;434,06;142,13;150,72;174,39;210,34;142,67
17;327,61;301,64;17,85;113,01;124,40;453,57;131,27;158,57;172,01;239,68;142,13
18;285,87;99,08;18,65;56,37;148,06;506,26;126,04;144,64;178,03;216,89;133,49
19;332,82;248,52;26,49;69,61;125,82;1047,59;119,26;131,85;151,99;219,19;122,52
20;667,89;391,15;21,46;144,74;242,58;711,55;132,85;135,45;135,40;586,92;119,18
21;456,54;360,87;24,63;96,57;138,90;417,30;171,81;156,24;179,48;638,69;153,61
22;556,79;60,38;19,83;100,39;146,49;305,91;220,46;565,91;145,82;628,73;154,04
23;679,10;356,84;18,42;54,40;94,73;256,33;135,09;126,04;122,53;392,95;147,95
24;698,78;248,40;18,41;67,81;70,02;364,06;136,16;133,41;125,90;311,72;234,19
25;483,54;167,37;22,44;40,12;67,14;378,30;123,26;146,32;144,66;319,32;412,03
26;419,92;118,09;17,73;34,68;82,87;236,73;128,82;143,58;152,56;502,01;1156,47
27;324,58;123,71;16,87;33,80;98,91;368,87;131,64;140,74;273,54;580,93;1704,51
28;474,65;130,49;17,88;21,51;47,37;169,07;129,21;151,21;153,98;606,45;1926,46
29;882,98;191,23;22,29;32,44;167,40;294,18;326,20;;150,99;682,50;2254,26
30;927,71;268,05;17,37;32,03;688,21;235,46;338,94;;125,59;544,68;1508,61
31;;271,76;24,30;;574,56;;585,81;;274,50;378,28;
