date;start_hour;NO1;NO5;NO2;NO3;NO4
01.10.2022;0;834,28;834,28;834,28;526,98;423,63
01.10.2022;1;692,02;692,02;692,02;526,66;319,43
01.10.2022;2;544,17;544,17;544,17;526,66;299,5
01.10.2022;3;233,8;233,8;233,8;233,8;233,8
01.10.2022;4;184,03;184,03;184,03;184,03;184,03
01.10.2022;5;174,22;174,22;174,22;174,22;174,22
01.10.2022;6;170,32;170,32;170,32;170,32;170,32
01.10.2022;7;259,53;259,53;259,53;257,64;257,64
01.10.2022;8;489,01;489,01;489,01;474,78;299,61
01.10.2022;9;796;796;796;547,01;349,7
01.10.2022;10;1 195,48;1 195,48;1 195,48;564,63;414,87
01.10.2022;11;1 162,05;1 162,05;1 162,05;579,6;350,44
01.10.2022;12;979,5;979,5;979,5;579,28;319,33
01.10.2022;13;805,81;847,89;805,81;617,04;299,71
01.10.2022;14;720,07;800,64;720,07;640,24;299,61
01.10.2022;15;728,09;940,59;728,09;677,78;319,01
01.10.2022;16;759,94;759,94;759,94;718,7;349,49
01.10.2022;17;1 499,73;1 499,73;1 499,73;786,3;477,2
01.10.2022;18;1 842,68;1 842,68;1 842,68;851,79;319,75
01.10.2022;19;2 130,58;2 130,58;2 130,58;820,57;448,62
01.10.2022;20;1 961,95;1 961,95;1 961,95;714,38;399,69
01.10.2022;21;1 576,92;1 576,92;1 576,92;679,89;350,54
01.10.2022;22;1 200,23;1 200,23;1 200,23;704,04;349,91
01.10.2022;23;842,93;842,93;842,93;697,4;319,54
02.10.2022;0;708,74;708,74;708,74;703,53;321,02
02.10.2022;1;703,21;703,21;703,21;681,4;321,12
02.10.2022;2;639,48;639,48;639,48;619,69;321,02
02.10.2022;3;680,34;680,34;680,34;659,16;321,23
02.10.2022;4;649,9;649,9;649,9;629,79;351,23
02.10.2022;5;653,63;653,63;653,63;633,41;401,03
02.10.2022;6;652,03;652,03;652,03;631,82;401,14
02.10.2022;7;1 277,36;1 277,36;1 277,36;638,73;501,47
02.10.2022;8;933,68;933,68;933,68;904,74;320,8
02.10.2022;9;2 127,62;2 127,62;2 127,62;978,9;458,17
02.10.2022;10;2 328,93;2 328,93;2 328,93;788,97;501,79
02.10.2022;11;2 332,65;2 332,65;2 332,65;676,82;501,79
02.10.2022;12;2 535,77;2 535,77;2 535,77;626,6;501,69
02.10.2022;13;2 873,60;2 873,60;2 873,60;614,58;501,15
02.10.2022;14;2 541,63;2 541,63;2 541,63;686,83;501,26
02.10.2022;15;2 245,51;2 245,51;2 245,51;713;501,69
02.10.2022;16;1 074,02;1 074,02;1 074,02;972,09;502,11
02.10.2022;17;2 204,12;2 204,12;2 204,12;1 994,40;525,84
02.10.2022;18;2 979,26;2 979,26;2 979,26;2 125,17;531,69
02.10.2022;19;3 316,77;3 316,77;3 316,77;1 772,87;538,82
02.10.2022;20;3 184,19;3 184,19;3 184,19;1 032,85;538,61
02.10.2022;21;2 530,77;2 530,77;2 530,77;954,11;531,58
02.10.2022;22;1 786,60;1 786,60;1 786,60;871,11;525,73
02.10.2022;23;1 653,81;1 653,81;1 653,81;685,66;501,37
03.10.2022;0;1 947,26;1 947,26;1 947,26;565,95;501,79
03.10.2022;1;1 799,05;1 799,05;1 799,05;537,44;492,54
03.10.2022;2;1 716,05;1 716,05;1 716,05;534,88;400,82
03.10.2022;3;1 004,54;1 004,54;1 004,54;536,69;320,27
03.10.2022;4;1 045,51;1 045,51;1 045,51;536,8;320,16
03.10.2022;5;1 404,61;1 404,61;1 404,61;564,78;400,82
03.10.2022;6;2 127,08;2 127,08;2 127,08;603,19;501,15
03.10.2022;7;3 051,83;3 051,83;3 051,83;720,02;501,79
03.10.2022;8;3 235,69;3 235,69;3 235,69;764,39;501,58
03.10.2022;9;2 759,64;2 759,64;2 759,64;764,71;683,1
03.10.2022;10;2 127,30;2 127,30;2 127,30;726,83;558,61
03.10.2022;11;1 567,62;1 567,62;1 567,62;638,2;520,09
03.10.2022;12;1 267,14;1 267,14;1 267,14;603,09;516,79
03.10.2022;13;1 375,89;1 375,89;1 375,89;602,66;512,86
03.10.2022;14;1 543,68;1 543,68;1 543,68;585,42;512,01
03.10.2022;15;1 961,10;1 961,10;1 961,10;584,79;516,16
03.10.2022;16;2 382,88;2 382,88;2 382,88;564,14;518,82
03.10.2022;17;3 324,85;3 324,85;3 324,85;564,25;530,73
03.10.2022;18;3 670,77;3 670,77;3 670,77;584,25;557,76
03.10.2022;19;3 737,59;3 737,59;3 737,59;593,4;563,29
03.10.2022;20;3 648,63;3 648,63;3 648,63;603,3;561,48
03.10.2022;21;3 264,74;3 264,74;3 264,74;619,05;557,44
03.10.2022;22;3 190,68;3 190,68;3 190,68;680,02;536,59
03.10.2022;23;2 978,51;2 978,51;2 978,51;722,68;513,5
