Time;Helg;Ukedag;Prosentfordeling_helg;Prosentfordeling_ukedag
1;1,82;1,748329621;0,037727115;0,037196448
2; 1,68 ;1,623793519; 0,03 ;0,03454689
3;1,63;1,568114232;0,033908112;0,03336229
4;1,60;1,556978374;0,033213748;0,033125369
5;1,57;1,570155902;0,032635112;0,033405727
6;1,59;1,612657662;0,033098021;0,03430997
7;1,63;1,785263452;0,033908112;0,037982231
8;1,70;2,041388174;0,035296841;0,043431392
9;1,88;2,091499533;0,039000116;0,044497532
10;2,09;2,052524031;0,043397755;0,043668312
11;2,24;2,019116459;0,046522393;0,042957552
12;2,26;1,974573029;0,046985303;0,042009871
13;2,22;1,930029599;0,046059484;0,041062191
14;2,17;1,896622027;0,045133665;0,040351431
15;2,14;1,918893742;0,044439301;0,040825271
16;2,15;2,01354853;0,044670756;0,042839092
17;2,21;2,141610891;0,045943757;0,045563672
18;2,25;2,213993965;0,046753848;0,047103652
19;2,31;2,241833608;0,048026849;0,047695953
20;2,33;2,269673252;0,048374031;0,048288253
21;2,29;2,293986637;0,047679667;0,04880553
22;2,24;2,275241181;0,046638121;0,048406713
23;2,14;2,180586392;0,044439301;0,046392892
24;1,98;1,982182628;0,041198935;0,042171769
